Unnamed: 0,atletas.entrou_em_campo,atletas.nome,atletas.slug,atletas.preco_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.variacao_num,atletas.pontos_num,atletas.rodada_id,atletas.apelido,atletas.posicao_id,atletas.clube_id,atletas.media_num,atletas.status_id,atletas.jogos_num,atletas.clube.id.full.name,atletas.apelido_abreviado,DS,FC,FD,FF,FS,I,A,CA,SG,DE,GS,CV,PP,V,FT,G,PC,DP,PS,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
173,True,Ángel Rodrigo Romero Villamayor,angel-romero,6.53,,88323,-0.15,2.2,3,Ángel Romero,5,264,1.13,6,3,COR,Ã. Romero,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,40.0,60.0,Arena Barueri,2025-04-12 18:30:00,0,2,333899,10,264,4,275,1744493400,26,True,False
174,False,Ayrton Lucas Dantas de Medeiros,ayrton-lucas,7.36,,88393,0.0,0.0,3,Ayrton Lucas,2,262,0.0,6,1,FLA,A. Lucas,,,,,,,,,,,,,,,,,,,,,73.33,53.33,Arena do Grêmio,2025-04-13 17:30:00,2,0,333903,1,262,11,284,1744576200,26,True,False
175,False,Aderlan de Lima Silva,aderlan,5.0,,88423,0.0,0.0,3,Aderlan,2,277,0.0,5,0,SAN,Aderlan,,,,,,,,,,,,,,,,,,,,,46.67,66.67,Maracanã,2025-04-13 19:30:00,0,1,333897,15,277,6,266,1744583400,26,True,False
176,True,Walace Souza Silva,walace,4.36,,88479,-0.51,0.0,3,Walace,4,283,-0.05,6,2,CRU,Walace,1.0,2.0,,,,,,1.0,,,,,,,,,,,,,73.33,26.67,Morumbis,2025-04-13 17:30:00,1,1,333900,2,283,14,276,1744576200,26,True,False
177,True,José Leonardo Nunes Alves Sousa Jardim,leonardo-jardim,8.64,,88963,-0.02,3.6,3,Leonardo Jardim,6,283,4.81,7,3,CRU,L. Jardim,,,,,,,,,,,,,,1.0,,,,,,,73.33,26.67,Morumbis,2025-04-13 17:30:00,1,1,333900,2,283,14,276,1744576200,26,True,False
178,True,Héctor José Hernández Marrero,hector-hernandez,5.26,,89048,0.22,2.0,3,Héctor Hernández,5,264,4.1,6,3,COR,H. Hernández,2.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,40.0,60.0,Arena Barueri,2025-04-12 18:30:00,0,2,333899,10,264,4,275,1744493400,26,True,False
179,True,Gerson Santos da Silva,gerson,11.46,,89256,-0.78,2.5,3,Gerson,4,262,3.2,7,2,FLA,Gerson,,,2.0,,8.0,,,,,,,,,,,,,,,,73.33,53.33,Arena do Grêmio,2025-04-13 17:30:00,2,0,333903,1,262,11,284,1744576200,26,True,False
181,False,Willian de Asevedo Furtado,william,16.66,,89275,0.0,0.0,3,William,2,283,13.4,7,2,CRU,William,10.0,4.0,,2.0,3.0,1.0,2.0,,,,,,,,,,,,,,73.33,26.67,Morumbis,2025-04-13 17:30:00,1,1,333900,2,283,14,276,1744576200,26,True,False
182,False,Matheus de Sales Cabral,matheus-sales,4.0,,89285,0.0,0.0,3,Matheus Sales,4,2305,0.0,5,0,MIR,M. Sales,,,,,,,,,,,,,,,,,,,,,66.67,66.67,Casa de Apostas Arena Fonte Nova,2025-04-13 16:00:00,1,1,333904,9,2305,5,265,1744570800,26,True,False
185,True,Thiago Maia Alencar,thiago-maia,4.3,,89637,-0.5,0.0,3,Thiago Maia,4,285,-0.15,6,2,INT,T. Maia,,1.0,,,,,,,,,,,,,,,,,,,20.0,20.0,Castelão (CE),2025-04-13 20:00:00,0,0,333905,17,285,18,356,1744585200,26,True,False
186,True,Iury Lirio Freitas de Castilho,iury-castilho,4.52,,89695,-0.81,-0.7,3,Iury Castilho,5,2305,1.1,2,3,MIR,I. Castilho,,2.0,,1.0,9.0,4.0,,1.0,,,,,,,,,,,,,66.67,66.67,Casa de Apostas Arena Fonte Nova,2025-04-13 16:00:00,1,1,333904,9,2305,5,265,1744570800,26,True,False
191,True,Bruno Henrique Pinto,bruno-henrique,8.0,,90285,-1.45,-0.1,3,Bruno Henrique,5,262,4.63,7,3,FLA,B. Henrique,1.0,2.0,1.0,3.0,3.0,1.0,,,,,,,,,,1.0,,,,,73.33,53.33,Arena do Grêmio,2025-04-13 17:30:00,2,0,333903,1,262,11,284,1744576200,26,True,False
192,True,Olávio Vieira dos Santos Júnior,juninho,5.76,,90307,-1.06,-0.3,3,Juninho,5,262,3.9,2,3,FLA,Juninho,2.0,4.0,2.0,2.0,,1.0,,,,,,,,,2.0,,,,,,73.33,53.33,Arena do Grêmio,2025-04-13 17:30:00,2,0,333903,1,262,11,284,1744576200,26,True,False
196,True,Matheus Martins Fogaça de Paulo,matheuzinho,11.92,,90703,1.49,9.9,3,Matheuzinho,4,287,6.7,7,2,VIT,Matheuzinho,1.0,1.0,1.0,,6.0,,,,,,,,,,,1.0,,,,,20.0,60.0,Mineirão,2025-04-13 20:30:00,2,2,333902,16,287,7,282,1744587000,26,True,False
197,True,Fabrício Bruno Soares de Faria,fabricio-bruno,8.38,,90768,-0.22,3.2,3,Fabrício Bruno,3,283,2.1,7,3,CRU,F. Bruno,5.0,4.0,,,2.0,,,1.0,,,,,,,,,,,,,73.33,26.67,Morumbis,2025-04-13 17:30:00,1,1,333900,2,283,14,276,1744576200,26,True,False
198,True,Carlos Eduardo Ferreira de Souza,carlos-eduardo,4.02,,90917,0.02,1.5,3,Carlos Eduardo,5,287,1.5,2,1,VIT,C. Eduardo,1.0,,,,,,,,,,,,,,,,,,,,20.0,60.0,Mineirão,2025-04-13 20:30:00,2,2,333902,16,287,7,282,1744587000,26,True,False
