Unnamed: 0,atletas.posicao_id,atletas.jogos_num,atletas.pontos_num,atletas.variacao_num,atletas.atleta_id,atletas.media_num,atletas.preco_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.nome,atletas.slug,atletas.entrou_em_campo,atletas.apelido,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.clube_id,atletas.status_id,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,V,DP,SG,FT,PS,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
552,5,2,0.0,0.0,120566,2.25,2.83,6,V. Pernambuco,José Vitor Rodrigues da Silva dos Santos,vitor-pernambuco,False,Vitor Pernambuco,,JUV,286,6,,1.0,,,,,,,,,,,,,1.0,,,,,,6.67,20.0,Beira-Rio,2025-04-26 16:00:00,1,3,333973,19,286,17,285,1745694000,26,True,False
554,4,1,9.3,3.37,121668,9.3,5.37,6,Bruninho,Bruno César Pereira Silva,bruninho,True,Bruninho,,FOR,356,6,,5.0,,,1.0,2.0,,,,,,,,,,,,,,,20.0,6.67,Ilha do Retiro,2025-04-26 20:00:00,0,0,333976,18,356,20,292,1745708400,26,True,False
555,2,0,0.0,0.0,121766,0.0,2.0,6,P. Silva,Paulo Ricardo de Souza Babilônia,paulinho-silva,False,Paulinho Silva,,VAS,267,6,,,,,,,,,,,,,,,,,,,,,46.67,73.33,Parque do Sabiá,2025-04-27 18:30:00,0,1,333972,13,267,2,283,1745789400,26,True,False
556,5,4,1.1,-0.06,121792,1.4,2.86,6,André,André Henrique da Silva Martins,andre,True,André,,GRE,284,6,,,,3.0,2.0,1.0,,1.0,,,,,,,,,,,,,53.33,20.0,Barradão,2025-04-27 18:30:00,1,1,333974,11,284,16,287,1745789400,26,True,False
559,2,0,0.0,0.0,122300,0.0,2.0,6,Ryan,Ryan Carlos Santos de Sousa,ryan,False,Ryan,,BAH,265,6,,,,,,,,,,,,,,,,,,,,,66.67,60.0,Allianz Parque,2025-04-27 18:30:00,1,0,333969,5,265,4,275,1745789400,26,True,False
564,4,3,0.0,0.0,122394,0.2,2.65,6,Gustavinho,Gustavo Ribeiro Neves,gustavinho,False,Gustavinho,,RBB,280,6,,1.0,3.0,,,,,,,,,,,,,,,,,,46.67,46.67,Vila Belmiro,2025-04-27 20:30:00,2,1,333970,3,280,15,277,1745796600,26,True,False
565,4,1,0.0,0.0,122396,1.7,4.23,6,Ryan,Ryan Gustavo de Lima,ryan,False,Ryan,,COR,264,6,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,40.0,73.33,Maracanã,2025-04-27 16:00:00,0,4,333967,10,264,1,262,1745780400,26,True,False
568,2,0,0.0,0.0,122458,0.0,1.0,6,V. Lago,Vinicius dos Santos Lago,vinicius-lago,False,Vinícius Lago,,RBB,280,6,,,,,,,,,,,,,,,,,,,,,46.67,46.67,Vila Belmiro,2025-04-27 20:30:00,2,1,333970,3,280,15,277,1745796600,26,True,False
569,5,4,5.5,0.74,122486,4.43,6.62,6,Rayan,Rayan Vitor Simplício Rocha,rayan,True,Rayan,,VAS,267,7,,4.0,3.0,,2.0,6.0,1.0,,,,,,,,,,,,,,46.67,73.33,Parque do Sabiá,2025-04-27 18:30:00,0,1,333972,13,267,2,283,1745789400,26,True,False
570,5,0,0.0,0.0,122487,0.0,2.0,6,GB,Gabriel Souza da Silva,gb,False,GB,,VAS,267,6,,,,,,,,,,,,,,,,,,,,,46.67,73.33,Parque do Sabiá,2025-04-27 18:30:00,0,1,333972,13,267,2,283,1745789400,26,True,False
