Unnamed: 0,atletas.posicao_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.atleta_id,atletas.status_id,atletas.clube_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.pontos_num,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.apelido,atletas.rodada_id,atletas.preco_num,atletas.slug,atletas.variacao_num,atletas.nome,CA,DS,FC,FS,SG,FD,FF,I,CV,A,FT,G,DE,DP,GS,PS,PC,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
140,4,0.4,,85465,6,264,COR,3,0.0,A. Santana,False,Alex Santana,11,4.28,alex-santana,0.0,Alex Paulo Menezes Santana,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,20.0,40.0,Neo Química Arena,2025-06-01 18:30:00,0,0,333889,16,287,10,264,1748813400,26,True,True
142,5,3.48,,85930,6,354,CEA,5,1.2,Aylon,True,Aylon,11,4.62,aylon,-0.27,Aylon Darwin Tavella,,4.0,8.0,6.0,,1.0,2.0,,,,,1.0,,,,,,,,,60.0,46.67,Castelão (CE),2025-06-01 18:30:00,1,0,333895,7,282,12,354,1748813400,26,True,True
144,5,0.46,,86292,6,283,CRU,5,0.0,Bolasie,False,Bolasie,11,3.85,bolasie,0.0,Yannick Bolasie,,2.0,4.0,1.0,,,,,,,,,,,,,,,,,60.0,73.33,Mineirão,2025-06-01 19:30:00,1,2,333892,4,275,2,283,1748817000,26,True,True
145,2,1.7,,86410,6,267,VAS,1,0.0,V. Luis,False,Victor Luis,11,4.24,victor-luis,0.0,Victor Luis Chuab Zamblauskas,,,,1.0,,1.0,,,,,,,,,,,,,,,46.67,46.67,São Januário,2025-05-31 21:00:00,2,0,333888,3,280,13,267,1748736000,26,True,True
148,4,0.0,,86536,5,354,CEA,0,0.0,Richardson,False,Richardson,11,4.0,richardson,0.0,Richardson Fernandes dos Santos,,,,,,,,,,,,,,,,,,,,,60.0,46.67,Castelão (CE),2025-06-01 18:30:00,1,0,333895,7,282,12,354,1748813400,26,True,True
149,4,0.92,,86686,7,267,VAS,8,1.7,T. Tchê,True,Tchê Tchê,11,3.88,tche-tche,0.03,Danilo das Neves Pinheiro,,1.0,2.0,9.0,,1.0,1.0,,,,,,,,,,,,,,46.67,46.67,São Januário,2025-05-31 21:00:00,2,0,333888,3,280,13,267,1748736000,26,True,True
150,5,2.97,,86757,6,262,FLA,11,0.5,Everton,True,Everton,11,7.7,everton,-0.38,Everton Sousa Soares,,7.0,6.0,,,4.0,8.0,1.0,,1.0,,1.0,,,,,,,,,20.0,73.33,Maracanã,2025-06-01 18:30:00,0,5,333887,18,356,1,262,1748813400,26,True,True
153,2,1.13,,86820,6,286,JUV,4,0.0,Reginaldo,False,Reginaldo,11,2.98,reginaldo,0.0,Reginaldo Lopes de Jesus,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,53.33,6.67,Alfredo Jaconi,2025-06-01 16:00:00,2,0,333896,11,284,19,286,1748804400,26,True,True
155,3,0.0,,86863,6,2305,MIR,0,0.0,L. Otávio,False,Luiz Otávio,11,4.0,luiz-otavio,0.0,Luiz Otávio da Silva Santos,,,,,,,,,,,,,,,,,,,,,6.67,66.67,Maião,2025-06-01 11:00:00,0,1,333891,20,292,9,2305,1748786400,26,True,True
156,1,2.86,,87008,7,267,VAS,10,-0.7,L. Jardim,True,Léo Jardim,11,6.87,leo-jardim,-0.93,Leonardo César Jardim,,,,1.0,2.0,,,,,,,,24.0,,13.0,,,,,,46.67,46.67,São Januário,2025-05-31 21:00:00,2,0,333888,3,280,13,267,1748736000,26,True,True
160,5,1.72,,87258,5,277,SAN,5,0.0,Soteldo,False,Soteldo,11,8.83,soteldo,0.0,Yeferson Julio Soteldo Martínez,1.0,3.0,2.0,6.0,,1.0,2.0,1.0,,,,,,,,,,,,,73.33,46.67,Vila Belmiro,2025-06-01 16:00:00,1,0,333890,8,263,15,277,1748804400,26,True,True
162,4,2.52,,87470,6,277,SAN,9,0.0,Thaciano,False,Thaciano,11,5.44,thaciano,0.0,Thaciano Mickael da Silva,,7.0,1.0,3.0,,1.0,3.0,6.0,,,,1.0,,,,,,,,,73.33,46.67,Vila Belmiro,2025-06-01 16:00:00,1,0,333890,8,263,15,277,1748804400,26,True,True
163,4,2.3,,87742,6,2305,MIR,9,0.0,N. Moura,False,Neto Moura,11,4.18,neto-moura,0.0,Antônio Francisco Moura Neto,3.0,17.0,12.0,4.0,,,1.0,,,,,,,,,,1.0,,,,6.67,66.67,Maião,2025-06-01 11:00:00,0,1,333891,20,292,9,2305,1748786400,26,True,True
164,4,2.17,,87747,6,2305,MIR,8,7.2,Y. Felipe,True,Yago Felipe,11,5.17,yago-felipe,1.11,Yago Felipe da Costa Rocha,,7.0,4.0,13.0,,,2.0,,,,,,,,,,,,,,6.67,66.67,Maião,2025-06-01 11:00:00,0,1,333891,20,292,9,2305,1748786400,26,True,True
166,3,4.0,,87853,6,267,VAS,2,0.0,M. Lemos,False,Mauricio Lemos,11,6.92,mauricio-lemos,0.0,Paolo Mauricio Lemos Merladett,,2.0,,,1.0,,,,,,,,,,,,,,,,46.67,46.67,São Januário,2025-05-31 21:00:00,2,0,333888,3,280,13,267,1748736000,26,True,True
167,4,12.7,,87863,6,262,FLA,9,13.1,Arrascaeta,True,Arrascaeta,11,21.17,arrascaeta,0.24,Giorgian Daniel de Arrascaeta Benedetti,,5.0,3.0,13.0,,1.0,4.0,2.0,,4.0,1.0,9.0,,,,2.0,,,,,20.0,73.33,Maracanã,2025-06-01 18:30:00,0,5,333887,18,356,1,262,1748813400,26,True,True
