atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
2,6,0.0,0.0,0.0,alisson,Alisson,125469,Alisson Santana Lopes da Fonseca,CAM,False,0,282,4,4.0,,Alisson,26.67,60.0,Mineirão,2025-04-06 16:00:00,0.0,0.0,333882,14,276,7,282,1743966000,26,True,True,,,,,,,,,,,,,,,,,,,,
2,6,0.0,0.0,0.0,gustavo-lacerda,Gustavo Lacerda,116104,Gustavo Henrique Lacerda Ferreira,MIR,False,0,2305,1,2.0,,G. Lacerda,20.0,66.67,Maião,2025-04-06 18:30:00,1.0,1.0,333881,18,356,9,2305,1743975000,26,True,True,,,,,,,,,,,,,,,,,,,,
2,6,11.7,1.92,8.2,cuiabano,Cuiabano,116065,Luís Eduardo Soares da Silva,BOT,True,2,263,2,10.11,,Cuiabano,6.67,73.33,Nilton Santos (Engenhão),2025-04-05 21:00:00,0.0,2.0,333878,19,286,8,263,1743897600,26,True,True,1.0,,1.0,2.0,,,1.0,,,,,,,,,2.0,,,,
2,6,0.0,0.0,0.0,lele,Lelê,115915,Leanderson da Silva Genésio,CEA,False,0,354,5,4.0,,Lelê,53.33,46.67,Castelão (CE),2025-04-05 18:30:00,0.0,2.0,333885,11,284,12,354,1743888600,26,True,True,,,,,,,,,,,,,,,,,,,,
2,6,0.0,0.0,0.0,gabriel-delfim,Gabriel Delfim,115674,Gabriel Delfim Ferreira,CAM,False,0,282,1,2.0,,G. Delfim,26.67,60.0,Mineirão,2025-04-06 16:00:00,0.0,0.0,333882,14,276,7,282,1743966000,26,True,True,,,,,,,,,,,,,,,,,,,,
2,6,0.0,0.0,0.0,marcos-victor,Marcos Victor,115537,Marcos Victor Ferreira da Silva,CEA,False,0,354,3,3.0,,M. Victor,53.33,46.67,Castelão (CE),2025-04-05 18:30:00,0.0,2.0,333885,11,284,12,354,1743888600,26,True,True,,,,,,,,,,,,,,,,,,,,
2,6,0.0,0.0,0.0,rwan-cruz,Rwan Cruz,115404,Rwan Philipe Rodrigues de Souza Cruz,BOT,False,0,263,5,4.0,,R. Cruz,6.67,73.33,Nilton Santos (Engenhão),2025-04-05 21:00:00,0.0,2.0,333878,19,286,8,263,1743897600,26,True,True,,,,,,,,,,,,,,,,,,,,
2,6,0.5,-0.58,0.5,deivid-washington,Deivid Washington,124251,Deivid Washington de Souza Eugênio,SAN,True,2,277,5,4.5,,D. Washington,66.67,46.67,Vila Belmiro,2025-04-06 20:30:00,2.0,2.0,333880,5,265,15,277,1743982200,26,True,True,,,,,,,2.0,,,,,,,,,,,,,
2,6,0.0,0.0,0.0,felipinho,Felipinho,141151,Felipe Gabriel dos Santos Silva,SPT,False,0,292,2,3.0,,Felipinho,60.0,6.67,Ilha do Retiro,2025-04-06 18:30:00,2.0,1.0,333886,4,275,20,292,1743975000,26,True,True,,,,,,,,,,,,,,,,,,,,
2,7,3.57,0.01,4.67,pepa,Pepa,123907,Pedro Miguel Marques da Costa Filipe,SPT,True,2,292,6,6.12,,Pepa,60.0,6.67,Ilha do Retiro,2025-04-06 18:30:00,2.0,1.0,333886,4,275,20,292,1743975000,26,True,True,,,,,,,,,,,,,,,,,,,,
2,5,0.0,0.0,0.0,palacios,Palacios,123873,Brahian Palacios Alzate,CAM,False,0,282,5,4.0,,Palacios,26.67,60.0,Mineirão,2025-04-06 16:00:00,0.0,0.0,333882,14,276,7,282,1743966000,26,True,True,,,,,,,,,,,,,,,,,,,,
2,6,0.0,0.0,2.0,lezcano,Lezcano,123788,Rubén Darío Lezcano Portillo,FLU,False,1,266,4,5.61,,Lezcano,46.67,66.67,Maracanã,2025-04-06 16:00:00,1.0,2.0,333877,3,280,6,266,1743966000,26,True,True,,,1.0,,,,1.0,,,,,,,,,,,,,
2,6,0.0,0.0,0.0,cadu,Cadu,123359,Carlos Eduardo Amaral Pereira de Castro,CAM,False,0,282,5,3.0,,Cadu,26.67,60.0,Mineirão,2025-04-06 16:00:00,0.0,0.0,333882,14,276,7,282,1743966000,26,True,True,,,,,,,,,,,,,,,,,,,,
2,6,0.0,0.0,0.0,patrick,Patrick,122990,Patrick Roberto da Silva Campos,CAM,False,0,282,4,2.0,,Patrick,26.67,60.0,Mineirão,2025-04-06 16:00:00,0.0,0.0,333882,14,276,7,282,1743966000,26,True,True,,,,,,,,,,,,,,,,,,,,
2,7,0.0,0.0,5.0,lucas-cunha,Lucas Cunha,122755,Lucas de Souza Cunha,SPT,False,1,292,3,5.02,,L. Cunha,60.0,6.67,Ilha do Retiro,2025-04-06 18:30:00,2.0,1.0,333886,4,275,20,292,1743975000,26,True,True,,,,,,,,,,,,,,,,1.0,,,,
2,6,0.0,0.0,0.0,lucca,Lucca,122420,Lucca Holanda Sampaio Tavares,INT,False,0,285,5,3.0,,Lucca,73.33,20.0,Beira-Rio,2025-04-06 18:30:00,0.0,3.0,333883,2,283,17,285,1743975000,26,True,True,,,,,,,,,,,,,,,,,,,,
2,6,0.0,0.0,0.0,micael,Micael,137375,Micael de Barros Viturino,SPT,False,0,292,5,1.0,,Micael,60.0,6.67,Ilha do Retiro,2025-04-06 18:30:00,2.0,1.0,333886,4,275,20,292,1743975000,26,True,True,,,,,,,,,,,,,,,,,,,,
2,6,0.0,0.0,0.0,ryan,Ryan,122396,Ryan Gustavo de Lima,COR,False,0,264,4,4.0,,Ryan,46.67,40.0,Neo Química Arena,2025-04-05 18:30:00,0.0,3.0,333879,13,267,10,264,1743888600,26,True,True,,,,,,,,,,,,,,,,,,,,
