,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,CV,PC,V,DE,GS,DP,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
229,9,89048,15,264,5,6,0.0,2.18,0.0,4.39,False,hector-hernandez,Héctor Hernández,H. Hernández,Héctor José Hernández Marrero,0,0,5,4,2,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,True
230,12,105786,15,264,5,2,0.0,3.05,-1.36,5.95,True,talles-magno,Talles Magno,T. Magno,Talles Magno Bacelar Martins,1,1,7,12,2,7,15,1,8,0,1,0,0,0,0,0,0,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,True
231,11,110311,15,264,4,7,1.5,2.68,-0.73,4.16,True,jose-martinez,José Martínez,J. Martínez,José Andrés Martínez Torres,1,5,13,9,2,3,18,0,1,0,0,0,0,1,0,0,0,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,True
232,11,94154,15,264,4,5,0.0,1.3,0.0,3.58,False,maycon,Maycon,Maycon,Maycon de Andrade Barberan,0,0,9,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,True
233,5,107179,15,264,1,6,0.0,3.08,0.0,4.42,False,matheus-donelli,Matheus Donelli,M. Donelli,Matheus Planelles Donelli,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,13,6,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,True
234,7,97642,15,264,3,6,1.5,4.18,-0.77,6.82,True,felix-torres,Félix Torres,F. Torres,Félix Eduardo Torres Caicedo,0,1,11,11,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,True
235,3,117459,15,264,2,6,0.0,0.87,-0.47,2.54,True,leo-mana,Léo Maná,L. Maná,Leonardo Mana Hernandes,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,True
236,3,107908,15,264,2,5,0.0,2.23,0.0,5.41,False,hugo,Hugo,Hugo,Hugo Ferreira de Farias,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,True
237,7,68920,15,282,5,3,0.0,2.57,0.0,8.39,False,dudu,Dudu,Dudu,Eduardo Pereira Rodrigues,0,0,4,5,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,True
238,6,122396,15,264,4,6,0.0,1.57,0.0,3.44,False,ryan,Ryan,Ryan,Ryan Gustavo de Lima,0,1,6,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,True
239,13,117910,15,264,4,7,0.8,3.53,0.02,7.32,True,breno-bidon,Breno Bidon,B. Bidon,Breno de Souza Bidon,1,3,16,27,3,3,28,1,0,0,0,0,0,0,0,0,0,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,True
240,0,110260,15,264,2,6,0.0,0.0,0.0,4.0,False,palacios,Palacios,Palacios,Diego José Palacios Espinoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,True
241,3,125488,15,264,3,6,0.0,3.03,0.0,4.95,False,joao-pedro,João Pedro,J. Pedro,João Pedro de Sousa Rodrigues,0,2,1,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,True
