Unnamed: 0,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.atleta_id,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.media_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.apelido,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,DP,SG,V,FT,PS,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
194,VAS,,0.0,90309,267,6.0,5,0.0,0.0,5,David,7,David Correa da Fonseca,False,david,0,David,,,,,,,,,,,,,,,,,,,,,60.0,46.67,Mané Garrincha,2025-05-04 16:00:00,1,0,334008,4,275,13,267,1746385200,26,True,True
195,BAH,,0.0,90449,265,3.0,6,0.0,0.0,4,Rezende,7,Júlio César de Rezende Miranda,False,rezende,0,Rezende,,,,,,,,,,,,,,,,,,,,,73.33,66.67,Casa de Apostas Arena Fonte Nova,2025-05-03 21:00:00,0,1,334014,8,263,5,265,1746316800,26,True,True
196,JUV,,1.2,90588,286,4.04,6,0.04,1.2,4,Caíque,7,Caique de Jesus Gonçalves,True,caique,1,Caíque,,1.0,1.0,,,,,,,,,,,,,,,,,,60.0,6.67,Alfredo Jaconi,2025-05-05 20:00:00,1,0,334016,7,282,19,286,1746486000,26,True,True
198,CRU,,1.2,90768,283,7.25,7,-0.24,2.65,3,F. Bruno,7,Fabrício Bruno Soares de Faria,True,fabricio-bruno,6,Fabrício Bruno,,9.0,6.0,1.0,,2.0,,,3.0,,,,1.0,,,,,,,,73.33,73.33,Mineirão,2025-05-04 18:30:00,1,2,334012,1,262,2,283,1746394200,26,True,True
201,BAH,,0.0,91101,265,5.47,5,0.0,3.68,1,Ronaldo,7,Ronaldo de Oliveira Strada,False,ronaldo,4,Ronaldo,,,,,,2.0,,,,9.0,4.0,1.0,,,,,1.0,,,,73.33,66.67,Casa de Apostas Arena Fonte Nova,2025-05-03 21:00:00,0,1,334014,8,263,5,265,1746316800,26,True,True
202,CEA,,0.0,91130,354,5.88,5,0.0,4.3,5,Fernandinho,7,Fernando José Marques Maciel,False,fernandinho,2,Fernandinho,,4.0,1.0,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,20.0,46.67,Presidente Vargas (CE),2025-05-03 18:30:00,0,1,334015,16,287,12,354,1746307800,26,True,True
203,CEA,,0.0,91203,354,2.9,6,0.0,0.8,3,Éder,7,Éder Ferreira Graminho,False,eder,1,Éder,,,,,1.0,,,,,,,,,,,,,,,,20.0,46.67,Presidente Vargas (CE),2025-05-03 18:30:00,0,1,334015,16,287,12,354,1746307800,26,True,True
205,JUV,,0.0,91509,286,4.28,7,0.0,1.8,3,R. Sam,7,Rodrigo Eduardo da Silva,False,rodrigo-sam,1,Rodrigo Sam,,2.0,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,60.0,6.67,Alfredo Jaconi,2025-05-05 20:00:00,1,0,334016,7,282,19,286,1746486000,26,True,True
206,SAO,,0.0,91573,276,7.88,2,0.0,4.0,3,Arboleda,7,Robert Abel Arboleda Escobar,False,arboleda,3,Arboleda,,2.0,3.0,,,2.0,,1.0,1.0,,,,2.0,,,,,,,,20.0,26.67,Morumbis,2025-05-02 21:30:00,0,0,334010,18,356,14,276,1746232200,26,False,True
208,JUV,,0.0,91627,286,3.0,6,0.0,0.0,4,D. Vieira,7,Carlos Eduardo de Souza Vieira,False,dudu-vieira,0,Dudu Vieira,,,,,,,,,,,,,,,,,,,,,60.0,6.67,Alfredo Jaconi,2025-05-05 20:00:00,1,0,334016,7,282,19,286,1746486000,26,True,True
210,GRE,,8.7,91706,284,7.29,7,1.51,3.62,2,Marlon,7,Marlon Rodrigues Xavier,True,marlon,4,Marlon,,8.0,5.0,,,2.0,,,2.0,,,,1.0,,,,,,,,46.67,53.33,Arena do Grêmio,2025-05-04 16:00:00,0,1,334013,15,277,11,284,1746385200,26,True,True
211,BAH,,5.5,91772,265,5.72,7,0.23,3.94,3,D. Duarte,7,David de Duarte Macedo,True,david-duarte,5,David Duarte,,3.0,5.0,,1.0,2.0,,1.0,,,,,3.0,,,,,,,,73.33,66.67,Casa de Apostas Arena Fonte Nova,2025-05-03 21:00:00,0,1,334014,8,263,5,265,1746316800,26,True,True
214,GRE,,0.0,91908,284,4.89,6,0.0,1.73,5,Pavón,7,Cristian David Pavón,False,pavon,4,Pavón,,2.0,2.0,2.0,2.0,3.0,,,1.0,,,,,,,,,,,,46.67,53.33,Arena do Grêmio,2025-05-04 16:00:00,0,1,334013,15,277,11,284,1746385200,26,True,True
215,JUV,,1.5,92085,286,3.48,6,0.11,1.95,5,Giovanny,7,Giovanny Bariani Marques,True,giovanny,6,Giovanny,1.0,2.0,2.0,,3.0,4.0,,1.0,,,,,,,,,,,,,60.0,6.67,Alfredo Jaconi,2025-05-05 20:00:00,1,0,334016,7,282,19,286,1746486000,26,True,True
218,GRE,,0.0,92237,284,4.75,5,0.0,0.6,3,R. Ely,7,Rodrigo Ely,False,rodrigo-ely,2,Rodrigo Ely,,1.0,1.0,,,,,,,,,,,,,,,,,,46.67,53.33,Arena do Grêmio,2025-05-04 16:00:00,0,1,334013,15,277,11,284,1746385200,26,True,True
219,COR,,2.4,92440,264,5.26,7,-0.38,2.1,3,A. Ramalho,7,André Ramalho Silva,True,andre-ramalho,5,André Ramalho,,5.0,5.0,,,1.0,,,1.0,,,,1.0,,,,,,,,20.0,40.0,Neo Química Arena,2025-05-03 18:30:00,2,4,334009,17,285,10,264,1746307800,26,True,True
225,CEA,,4.7,93236,354,4.23,6,0.46,2.32,2,R. Ramos,7,Rafael António Figueiredo Ramos,True,rafael-ramos,5,Rafael Ramos,,6.0,9.0,,1.0,1.0,,,1.0,,,,1.0,,,,,,,,20.0,46.67,Presidente Vargas (CE),2025-05-03 18:30:00,0,1,334015,16,287,12,354,1746307800,26,True,True
227,CRU,,3.8,93478,283,5.9,7,0.38,2.21,5,Wanderson,7,Wanderson Maciel Sousa Campos,True,wanderson,7,Wanderson,,4.0,6.0,4.0,4.0,3.0,,2.0,1.0,,,,,,1.0,,,,,,73.33,73.33,Mineirão,2025-05-04 18:30:00,1,2,334012,1,262,2,283,1746394200,26,True,True
228,CEA,,5.0,93637,354,5.5,6,1.5,5.0,2,B. Tubarão,7,Bruno Nunes de Barros,True,bruno-tubarao,1,Bruno Tubarão,,,,,,,,,,,,,1.0,,,,,,,,20.0,46.67,Presidente Vargas (CE),2025-05-03 18:30:00,0,1,334015,16,287,12,354,1746307800,26,True,True
229,VAS,,3.7,93716,267,12.47,3,-0.79,9.1,2,P. Henrique,7,Paulo Henrique de Oliveira Alves,True,paulo-henrique,5,Paulo Henrique,,25.0,6.0,1.0,2.0,2.0,,,2.0,,,,1.0,,1.0,,,,,,60.0,46.67,Mané Garrincha,2025-05-04 16:00:00,1,0,334008,4,275,13,267,1746385200,26,True,True
231,CEA,,0.0,93834,354,3.0,6,0.0,0.0,1,Keiller,7,Keiller da Silva Nunes,False,keiller,0,Keiller,,,,,,,,,,,,,,,,,,,,,20.0,46.67,Presidente Vargas (CE),2025-05-03 18:30:00,0,1,334015,16,287,12,354,1746307800,26,True,True
232,JUV,,6.8,93879,286,7.0,6,1.46,7.17,1,Marcão,7,Marcos Venicius Santos Miranda - Vinícius,True,marcao,3,Marcão,,,,,,,,,,15.0,3.0,,1.0,,,,,,,,60.0,6.67,Alfredo Jaconi,2025-05-05 20:00:00,1,0,334016,7,282,19,286,1746486000,26,True,True
233,RBB,,8.9,93882,280,8.54,7,1.22,6.13,1,Cleiton,7,Cleiton Schwengber,True,cleiton,6,Cleiton,,,,,,1.0,,,1.0,21.0,5.0,,3.0,,,,,,,,66.67,46.67,Cícero de Souza Marques,2025-05-05 19:00:00,0,1,334011,9,2305,3,280,1746482400,26,True,True
236,RBB,,1.5,94067,280,5.07,6,-0.48,2.58,4,M. Fernandes,7,Matheus Fernandes Siqueira,True,matheus-fernandes,5,Matheus Fernandes,,10.0,7.0,,,2.0,,,1.0,,,,,,,,,,,,66.67,46.67,Cícero de Souza Marques,2025-05-05 19:00:00,0,1,334011,9,2305,3,280,1746482400,26,True,True
237,COR,,0.0,94154,264,3.62,7,-0.41,1.33,4,Maycon,7,Maycon de Andrade Barberan,True,maycon,6,Maycon,,5.0,,,,1.0,,,,,,,,,,,,,,,20.0,40.0,Neo Química Arena,2025-05-03 18:30:00,2,4,334009,17,285,10,264,1746307800,26,True,True
240,JUV,,0.0,94444,286,4.5,5,0.0,3.23,5,M. Babi,7,Matheus Barcelos da Silva,False,matheus-babi,3,Matheus Babi,,1.0,2.0,,,2.0,1.0,2.0,,,,,,,,,,,,,60.0,6.67,Alfredo Jaconi,2025-05-05 20:00:00,1,0,334016,7,282,19,286,1746486000,26,True,True
