,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FD,FF,FS,I,SG,A,FT,G,CV,PC,PS,DE,GS,V,DP,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
280,6,79066,16,2305,1,6,0.0,2.37,0.0,3.34,False,alex-muralha,Alex Muralha,A. Muralha,Alex Roberto Santana Rafael,2,0,0,0,0,1,0,0,0,0,0,0,0,0,19,9,0,0,0,0,86.67,20.0,Castelão (CE),2025-07-23 19:00:00,2.0,0.0,334075,7,2305,13,354,1753308000,26,True,True
281,10,98384,16,2305,5,7,8.5,2.68,0.81,4.61,True,negueba,Negueba,Negueba,Luiz Henrique Soares Firmino,2,6,7,2,4,17,2,0,0,0,1,0,0,0,0,0,0,0,0,0,86.67,20.0,Castelão (CE),2025-07-23 19:00:00,2.0,0.0,334075,7,2305,13,354,1753308000,26,True,True
282,0,80225,16,2305,5,6,0.0,0.0,0.0,4.0,False,rafa-silva,Rafa Silva,R. Silva,Rafael da Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.67,20.0,Castelão (CE),2025-07-23 19:00:00,2.0,0.0,334075,7,2305,13,354,1753308000,26,True,True
283,0,63013,16,275,2,7,0.0,0.0,0.0,7.0,False,marcos-rocha,Marcos Rocha,M. Rocha,Marcos Luis Rocha Aquino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
284,0,86863,16,2305,3,6,0.0,0.0,0.0,4.0,False,luiz-otavio,Luiz Otávio,L. Otávio,Luiz Otávio da Silva Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.67,20.0,Castelão (CE),2025-07-23 19:00:00,2.0,0.0,334075,7,2305,13,354,1753308000,26,True,True
285,11,70592,16,275,4,2,4.5,3.29,0.12,6.84,True,felipe-anderson,Felipe Anderson,F. Anderson,Felipe Anderson Pereira Gomes,0,17,9,3,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
286,0,68872,16,275,1,6,0.0,0.0,0.0,7.0,False,marcelo-lomba,Marcelo Lomba,M. Lomba,Marcelo Lomba do Nascimento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,40.0,Maracanã,2025-07-23 19:00:00,2.0,1.0,334067,3,275,8,266,1753308000,26,True,True
287,12,87742,16,2305,4,7,0.0,1.99,-0.28,3.6,True,neto-moura,Neto Moura,N. Moura,Antônio Francisco Moura Neto,4,20,13,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86.67,20.0,Castelão (CE),2025-07-23 19:00:00,2.0,0.0,334075,7,2305,13,354,1753308000,26,True,True
288,5,82407,16,2305,4,6,2.2,3.52,-0.51,5.7,True,chico-kim,Chico Kim,C. Kim,Francisco Hyun-Sol Kim,0,8,2,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,86.67,20.0,Castelão (CE),2025-07-23 19:00:00,2.0,0.0,334075,7,2305,13,354,1753308000,26,True,True
289,0,89285,16,2305,4,6,0.0,0.0,0.0,4.0,False,matheus-sales,Matheus Sales,M. Sales,Matheus de Sales Cabral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.67,20.0,Castelão (CE),2025-07-23 19:00:00,2.0,0.0,334075,7,2305,13,354,1753308000,26,True,True
