atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FD,FF,FS,G,I,A,PS,FT,SG,DE,DP,GS,V,PC,CV,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
2,88423,18,277,2,6,0.0,4.7,0.0,6.64,False,aderlan,Aderlan,Aderlan,Aderlan de Lima Silva,0,2,1,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,20.0,46.67,Morumbis,2025-08-04 20:00:00,1,3,334133,19,286,15,277,1754348400,26,True,False
7,95466,18,277,2,6,5.1,3.06,0.77,7.01,True,igor-vinicius,Igor Vinícius,I. Vinícius,Igor Vinícius de Souza,2,8,7,3,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.0,46.67,Morumbis,2025-08-04 20:00:00,1,3,334133,19,286,15,277,1754348400,26,True,False
15,141754,18,277,4,7,1.2,3.65,-1.04,5.98,True,gabriel-bontempo,Gabriel Bontempo,G. Bontempo,Gabriel Morais Silva Bontempo,1,22,5,0,4,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,20.0,46.67,Morumbis,2025-08-04 20:00:00,1,3,334133,19,286,15,277,1754348400,26,True,False
15,124251,18,277,5,6,0.0,1.81,0.0,3.81,False,deivid-washington,Deivid Washington,D. Washington,Deivid Washington de Souza Eugênio,0,2,6,2,4,13,1,2,0,0,2,0,0,0,0,0,0,0,0,0,20.0,46.67,Morumbis,2025-08-04 20:00:00,1,3,334133,19,286,15,277,1754348400,26,True,False
13,97810,18,287,5,6,9.0,4.75,-0.86,7.47,True,erick,Erick,Erick,Erick de Arruda Serafim,4,8,10,5,8,31,2,0,2,0,1,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
6,93372,18,277,3,5,0.0,4.42,0.0,7.74,False,joao-basso,João Basso,J. Basso,João Othávio Basso,2,7,10,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,20.0,46.67,Morumbis,2025-08-04 20:00:00,1,3,334133,19,286,15,277,1754348400,26,True,False
0,141868,18,277,2,6,0.0,0.0,0.0,3.0,False,vinicius-lira,Vinicius Lira,V. Lira,Vinicius Rodrigues Lira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,46.67,Morumbis,2025-08-04 20:00:00,1,3,334133,19,286,15,277,1754348400,26,True,False
6,82407,18,2305,4,6,0.0,2.93,0.0,5.15,False,chico-kim,Chico Kim,C. Kim,Francisco Hyun-Sol Kim,0,8,2,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Maião,2025-08-02 18:30:00,2,3,334135,17,267,5,2305,1754170200,26,True,False
0,80076,18,292,5,6,0.0,0.0,0.0,6.0,False,ze-roberto,Zé Roberto,Z. Roberto,José Roberto Assunção de Araújo Filho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
5,83048,18,292,3,7,6.2,3.98,0.67,6.86,True,rafael-thyere,Rafael Thyere,R. Thyere,Rafael Thyere de Albuquerque Marques,0,7,4,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
13,91639,18,292,2,7,10.7,4.99,1.37,8.97,True,igor-carius,Igor Cariús,I. Cariús,Igor Aquino da Silva,1,28,13,5,4,16,0,5,0,0,0,3,0,0,0,0,1,0,0,1,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
4,81401,18,292,5,6,0.0,0.58,0.0,5.5,False,goncalo-paciencia,Gonçalo Paciência,G. Paciência,Gonçalo Mendes Paciência,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
12,91808,18,292,1,6,0.0,3.52,0.0,6.53,False,caique-franca,Caíque França,C. França,Caíque França Godoy,2,2,0,0,0,1,0,0,0,0,0,2,39,0,20,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
3,85931,18,292,4,6,0.0,-0.57,-0.36,3.22,True,hyoran,Hyoran,Hyoran,Hyoran Kaue Dalmoro,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
16,107726,18,292,5,7,2.8,4.54,-0.23,6.63,True,chrystian-barletta,Chrystian Barletta,C. Barletta,Chrystian Amaral Barletta de Almeida,1,12,9,14,13,19,2,5,0,0,2,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
7,69138,18,292,5,6,0.0,3.27,0.0,6.43,False,pablo,Pablo,Pablo,Pablo Felipe Teixeira,1,5,8,2,5,10,1,6,0,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
0,97645,18,287,1,6,0.0,0.0,0.0,3.0,False,thiago-couto,Thiago Couto,T. Couto,Thiago Couto Wenceslau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Barradão,2025-08-03 19:30:00,2,2,334140,3,275,16,287,1754260200,26,True,False
8,84523,18,292,5,6,0.0,2.75,0.0,3.92,False,romarinho,Romarinho,Romarinho,José Romário Silva de Souza,0,0,0,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,20.0,Ilha do Retiro,2025-08-02 16:00:00,0,0,334145,4,265,20,292,1754161200,26,True,False
