Unnamed: 0,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
147,1,6,0,0,0,everton,Everton,86757,Everton Sousa Soares,FLA,False,0,262,5,13,,Everton,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
148,1,7,0,0,0,matheus-rossetto,Matheus Rossetto,86766,Matheus Rossetto,FOR,False,0,356,4,5,,M. Rossetto,66.67,20.0,Castelão (CE),2025-03-29 18:30:00,0,2,333875,6,266,18,356,1743283800,26,True,True
150,1,6,0,0,0,reginaldo,Reginaldo,86820,Reginaldo Lopes de Jesus,JUV,False,0,286,2,3,,Reginaldo,20.0,6.67,Alfredo Jaconi,2025-03-29 18:30:00,0,2,333876,16,287,19,286,1743283800,26,True,True
151,1,6,0,0,0,jose-welison,José Welison,86859,José Welison da Silva,FOR,False,0,356,4,6,,J. Welison,66.67,20.0,Castelão (CE),2025-03-29 18:30:00,0,2,333875,6,266,18,356,1743283800,26,True,True
153,1,7,0,0,0,leo-jardim,Léo Jardim,87008,Leonardo César Jardim,VAS,False,0,267,1,12,,L. Jardim,46.67,46.67,São Januário,2025-03-30 18:30:00,1,2,333868,15,277,13,267,1743370200,26,True,True
154,1,6,0,0,0,nathan,Nathan,87009,Nathan Allan de Souza,GRE,False,0,284,4,4,,Nathan,60.0,53.33,Arena do Grêmio,2025-03-29 18:30:00,1,2,333873,7,282,11,284,1743283800,26,True,True
155,1,7,0,0,0,pedro-henrique,Pedro Henrique,87225,Pedro Henrique Ribeiro Gonçalves,RBB,False,0,280,3,7,,P. Henrique,46.67,46.67,Nabi Abi Chedid,2025-03-31 20:00:00,2,2,333871,12,354,3,280,1743462000,26,True,True
159,1,6,0,0,0,kannemann,Kannemann,87342,Walter Kannemann,GRE,False,0,284,3,5,,Kannemann,60.0,53.33,Arena do Grêmio,2025-03-29 18:30:00,1,2,333873,7,282,11,284,1743283800,26,True,True
162,1,6,0,0,0,yago-felipe,Yago Felipe,87747,Yago Felipe da Costa Rocha,BAH,False,0,265,4,5,,Y. Felipe,40.0,66.67,Casa de Apostas Arena Fonte Nova,2025-03-30 20:00:00,1,1,333874,10,264,5,265,1743375600,26,True,True
164,1,6,0,0,0,mauricio-lemos,Mauricio Lemos,87853,Paolo Mauricio Lemos Merladett,VAS,False,0,267,3,6,,M. Lemos,46.67,46.67,São Januário,2025-03-30 18:30:00,1,2,333868,15,277,13,267,1743370200,26,True,True
165,1,7,0,0,0,arrascaeta,Arrascaeta,87863,Giorgian Daniel de Arrascaeta Benedetti,FLA,False,0,262,4,17,,Arrascaeta,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
172,1,6,0,0,0,ayrton-lucas,Ayrton Lucas,88393,Ayrton Lucas Dantas de Medeiros,FLA,False,0,262,2,9,,A. Lucas,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
174,1,6,0,0,0,walace,Walace,88479,Walace Souza Silva,CRU,False,0,283,4,6,,Walace,66.67,73.33,Mineirão,2025-03-29 18:30:00,1,2,333872,9,2305,2,283,1743283800,26,True,True
175,1,7,0,0,0,leonardo-jardim,Leonardo Jardim,88963,José Leonardo Nunes Alves Sousa Jardim,CRU,False,0,283,6,8,,L. Jardim,66.67,73.33,Mineirão,2025-03-29 18:30:00,1,2,333872,9,2305,2,283,1743283800,26,True,True
177,1,7,0,0,0,gerson,Gerson,89256,Gerson Santos da Silva,FLA,False,0,262,4,13,,Gerson,20.0,73.33,Maracanã,2025-03-29 21:00:00,1,1,333867,17,285,1,262,1743292800,26,True,True
178,1,7,0,0,0,joao-pedro,João Pedro,89273,João Pedro Maturano dos Santos,GRE,False,0,284,2,7,,J. Pedro,60.0,53.33,Arena do Grêmio,2025-03-29 18:30:00,1,2,333873,7,282,11,284,1743283800,26,True,True
