,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,DS,FC,FS,FD,FF,I,SG,CA,G,DE,GS,PC,FT,CV,A,DP,PS,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
169,5,85930,13,354,5,7,0.0,3.48,0.0,4.62,False,aylon,Aylon,Aylon,Aylon Darwin Tavella,4,8,6,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
170,0,141083,13,263,5,6,0.0,0.0,0.0,2.0,False,rafael-lobato,Rafael Lobato,R. Lobato,Rafael Genuino Lobato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.67,40.0,Mané Garrincha,2025-07-12 18:30:00,2.0,0.0,333958,6,263,14,267,1752355800,26,True,True
171,0,72359,13,354,3,5,0.0,0.0,0.0,4.0,False,luiz-otavio,Luiz Otávio,L. Otávio,Luiz Otávio Anacleto Leandro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
172,6,71571,13,354,1,6,0.0,6.18,0.0,7.02,False,fernando-miguel,Fernando Miguel,F. Miguel,Fernando Miguel Kaufmann,0,0,6,0,0,0,3,0,0,17,3,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
173,7,72583,13,354,5,3,-0.6,3.45,-0.61,6.85,True,pedro-henrique,Pedro Henrique,P. Henrique,Pedro Henrique Konzen Medina da Silva,5,14,8,3,7,3,0,2,1,0,0,1,1,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
174,1,91203,13,354,3,6,0.0,0.8,0.0,2.9,False,eder,Éder,Éder,Éder Ferreira Graminho,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
175,10,70666,13,354,3,7,5.0,5.2,0.4,8.14,True,marllon,Marllon,Marllon,Marllon Gonçalves Jerônimo Borges,6,6,6,0,1,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
176,1,86536,13,354,4,6,0.0,0.0,-0.38,3.62,True,richardson,Richardson,Richardson,Richardson Fernandes dos Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
177,4,93637,13,354,2,6,5.0,3.67,0.8,6.02,True,bruno-tubarao,Bruno Tubarão,B. Tubarão,Bruno Nunes de Barros,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
178,6,79631,13,266,5,7,0.0,3.17,0.0,8.41,False,cano,Cano,Cano,Germán Ezequiel Cano,1,4,7,1,9,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,66.67,66.67,Maião,2025-08-16 00:00:00,,,333961,7,266,10,2305,1755313200,26,False,True
179,0,88087,13,354,3,6,0.0,0.0,0.0,6.0,False,ramon-menezes,Ramon Menezes,R. Menezes,Ramon Menezes Roma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
180,7,93236,13,354,2,6,5.0,3.22,0.19,4.89,True,rafael-ramos,Rafael Ramos,R. Ramos,Rafael António Figueiredo Ramos,6,10,1,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
181,4,95127,13,354,2,6,0.0,3.67,0.0,5.6,False,nicolas,Nicolas,Nicolas,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,3,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,0.0,Castelão (CE),2025-07-13 20:30:00,1.0,0.0,333965,9,354,19,356,1752449400,26,True,True
