atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
13,6,0.0,0.0,0.0416666666666666,thalys,Thalys,141452,Thalys Henrique Gomes de Araújo,,False,1,275,5,1.1,,Thalys,60.0,46.67,Vila Belmiro,2025-08-16 00:00:00,,,333960,5,275,16,277,1755313200,26,False,True,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,0.0,0.0,1.0333333333333334,pavon,Pavón,91908,Cristian David Pavón,,False,7,284,5,4.92,,Pavón,46.67,73.33,Mineirão,2025-07-13 20:30:00,1.0,4.0,333962,12,284,2,283,1752449400,26,True,True,0.0,3.0,5.0,5.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,-0.3,-0.47,2.083333333333333,cristaldo,Cristaldo,89846,Franco Cristaldo,,True,10,284,4,6.4,,Cristaldo,46.67,73.33,Mineirão,2025-07-13 20:30:00,1.0,4.0,333962,12,284,2,283,1752449400,26,True,True,1.0,1.0,5.0,4.0,3.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,7,11.2,1.67,4.058333333333333,eduardo-sasha,Eduardo Sasha,70360,Eduardo Colcenti Antunes,,True,13,280,5,9.53,,E. Sasha,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,True,1.0,2.0,5.0,3.0,9.0,10.0,14.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,0.0,0.0,1.3083333333333331,laquintana,Laquintana,103014,Ignacio Jesús Laquintana Marsico - Nacho,,False,7,280,5,5.69,,Laquintana,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,True,0.0,0.0,5.0,1.0,0.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,3,-0.1,-0.69,3.283333333333333,isidro-pitta,Isidro Pitta,108133,Isidro Miguel Pitta Saldívar,,True,11,280,5,6.67,,I. Pitta,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,True,1.0,3.0,1.0,9.0,3.0,1.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,6.3,1.0,0.7416666666666667,lucao,Lucão,106160,Lucas Alexandre Galdino de Azevedo,,True,2,280,1,7.09,,Lucão,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,True,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,7,3.7,0.3,2.566666666666667,eric-ramires,Eric Ramires,103295,Eric dos Santos Rodrigues,,True,13,280,4,6.32,,E. Ramires,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,True,1.0,1.0,17.0,11.0,2.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,0.0,0.0,0.0,praxedes,Praxedes,107744,Bruno Conceição Praxedes,,False,0,280,4,5.0,,Praxedes,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,0.0,0.0,2.033333333333333,guilherme-lopes,Guilherme Lopes,110909,Guilherme Lopes de Almeida,,False,3,280,2,7.99,,G. Lopes,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,True,0.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
13,3,7.5,1.47,0.1083333333333333,thiago-borbas,Thiago Borbas,117314,Thiago Nicolás Borbas Silva,,True,7,280,5,2.83,,T. Borbas,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,True,0.0,3.0,1.0,5.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,-0.3,-0.69,0.6916666666666668,nathan-mendes,Nathan Mendes,113157,Nathan Gabriel de Souza Mendes,,True,3,280,2,5.1,,N. Mendes,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,True,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,7,2.7,0.25,3.466666666666667,andre-silva,André Silva,131617,André Oliveira e Silva,,True,11,276,5,6.45,,A. Silva,20.0,86.67,Maracanã,2025-07-12 16:30:00,0.0,2.0,333957,15,276,1,262,1752348600,26,True,True,1.0,4.0,6.0,11.0,3.0,7.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2,0.0,-0.23,1.1833333333333331,osvaldo,Osvaldo,42222,Osvaldo Lourenço Filho,,True,8,287,5,3.62,,Osvaldo,13.33,33.33,Beira-Rio,2025-07-12 16:30:00,0.0,1.0,333963,18,287,13,285,1752348600,26,True,True,1.0,1.0,2.0,3.0,2.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,0.0,-0.83,0.2166666666666666,goncalo-paciencia,Gonçalo Paciência,81401,Gonçalo Mendes Paciência,,True,3,292,5,6.3,,G. Paciência,6.67,26.67,Alfredo Jaconi,2025-07-14 20:00:00,0.0,2.0,333966,20,292,17,286,1752534000,26,True,True,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,0.0,0.0,2.183333333333333,caique-franca,Caíque França,91808,Caíque França Godoy,,False,11,292,1,5.71,,C. França,6.67,26.67,Alfredo Jaconi,2025-07-14 20:00:00,0.0,2.0,333966,20,292,17,286,1752534000,26,True,True,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13,6,0.2,-0.28,1.075,henry-mosquera,Henry Mosquera,124239,Henry David Mosquera Sánchez,,True,7,280,5,3.56,,H. Mosquera,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,True,0.0,0.0,4.0,4.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,0.0,0.0,0.0999999999999999,vanderlan,Vanderlan,107236,Vanderlan Barbosa da Silva,,False,1,275,2,3.77,,Vanderlan,60.0,46.67,Vila Belmiro,2025-08-16 00:00:00,,,333960,5,275,16,277,1755313200,26,False,True,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2,0.0,0.0,1.2,anibal-moreno,Aníbal Moreno,112869,Aníbal Ismael Moreno,,False,8,275,4,4.13,,A. Moreno,60.0,46.67,Vila Belmiro,2025-08-16 00:00:00,,,333960,5,275,16,277,1755313200,26,False,True,0.0,0.0,8.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,0.0,0.0,-0.0833333333333333,naves,Naves,115246,Kaiky Marques Naves,,False,1,275,3,3.19,,Naves,60.0,46.67,Vila Belmiro,2025-08-16 00:00:00,,,333960,5,275,16,277,1755313200,26,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
13,7,0.4,-0.07,3.825,vinicinho,Vinicinho,132580,Vinicius Mendonça Pereira,,True,13,280,5,5.86,,Vinicinho,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,True,2.0,2.0,13.0,13.0,5.0,5.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13,7,4.95,0.36,6.1925,fernando-seabra,Fernando Seabra,126977,Fernando Seabra,,True,13,280,6,9.39,,F. Seabra,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,0.9,0.03,0.0416666666666666,kevyson,Kevyson,118701,Kevyson Costa e Silva,,True,2,292,2,2.01,,Kevyson,6.67,26.67,Alfredo Jaconi,2025-07-14 20:00:00,0.0,2.0,333966,20,292,17,286,1752534000,26,True,True,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,7,0.0,0.0,3.475,luciano,Luciano,80287,Luciano da Rocha Neves,,False,10,276,5,8.97,,Luciano,20.0,86.67,Maracanã,2025-07-12 16:30:00,0.0,2.0,333957,15,276,1,262,1752348600,26,True,True,0.0,3.0,10.0,8.0,7.0,11.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
13,7,2.8,-0.29,1.9416666666666669,cedric-soares,Cédric Soares,77656,Cédric Ricardo Alves Soares,,True,11,276,2,6.59,,C. Soares,20.0,86.67,Maracanã,2025-07-12 16:30:00,0.0,2.0,333957,15,276,1,262,1752348600,26,True,True,1.0,1.0,10.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
13,7,9.9,1.05,2.8666666666666667,rafael,Rafael,68928,Rafael Pires Monteiro,,True,12,276,1,10.45,,Rafael,20.0,86.67,Maracanã,2025-07-12 16:30:00,0.0,2.0,333957,15,276,1,262,1752348600,26,True,True,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,43.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13,6,0.0,0.0,1.2416666666666667,wendell,Wendell,80570,Wendell Nascimento Borges,,False,7,276,2,8.51,,Wendell,20.0,86.67,Maracanã,2025-07-12 16:30:00,0.0,2.0,333957,15,276,1,262,1752348600,26,True,True,0.0,0.0,7.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13,7,3.2,-0.41,1.3666666666666665,alisson,Alisson,81845,Alisson Euler de Freitas Castro,,True,11,276,4,5.0,,Alisson,20.0,86.67,Maracanã,2025-07-12 16:30:00,0.0,2.0,333957,15,276,1,262,1752348600,26,True,True,1.0,3.0,6.0,10.0,3.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,7,0.0,0.0,2.2666666666666666,edu,Edu,105842,Lucas Eduardo Ribeiro de Souza,,False,6,287,3,5.2,,Edu,13.33,33.33,Beira-Rio,2025-07-12 16:30:00,0.0,1.0,333963,18,287,13,285,1752348600,26,True,True,0.0,0.0,9.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13,6,11.0,1.14,4.2250000000000005,hulk,Hulk,39148,Givanildo Vieira de Souza,,True,12,282,5,15.2,,Hulk,53.33,80.0,Casa de Apostas Arena Fonte Nova,2025-07-12 21:00:00,1.0,2.0,333964,8,282,4,265,1752364800,26,True,True,2.0,3.0,4.0,12.0,11.0,15.0,26.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,4.1,0.7,1.55,ze-lucas,Zé Lucas,141160,José Lucas Gomes da Silva,,True,9,292,4,4.99,,Z. Lucas,6.67,26.67,Alfredo Jaconi,2025-07-14 20:00:00,0.0,2.0,333966,20,292,17,286,1752534000,26,True,True,0.0,0.0,9.0,5.0,1.0,4.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,0.0,0.0,0.0,felipinho,Felipinho,141151,Felipe Gabriel dos Santos Silva,,False,0,292,2,3.0,,Felipinho,6.67,26.67,Alfredo Jaconi,2025-07-14 20:00:00,0.0,2.0,333966,20,292,17,286,1752534000,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,0.0,0.0,0.0,jandrei,Jandrei,86508,Jandrei Chitolina Carniel,,False,0,276,1,5.0,,Jandrei,20.0,86.67,Maracanã,2025-07-12 16:30:00,0.0,2.0,333957,15,276,1,262,1752348600,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,6,0.0,0.0,0.0,fernando,Fernando,100695,Fernando dos Santos Pedro,,False,0,280,5,5.0,,Fernando,60.0,40.0,Neo Química Arena,2025-07-13 19:00:00,2.0,1.0,333959,3,280,11,264,1752444000,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,7,0.0,0.0,2.3666666666666667,allan,Allan,141451,Allan Andrade Elias,,False,6,275,4,5.97,,Allan,60.0,46.67,Vila Belmiro,2025-08-16 00:00:00,,,333960,5,275,16,277,1755313200,26,False,True,0.0,0.0,12.0,3.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,5,0.7,-0.96,1.5083333333333335,ryan-francisco,Ryan Francisco,140542,Ryan Francisco Rodrigues dos Santos Silva,,True,7,276,5,3.62,,R. Francisco,20.0,86.67,Maracanã,2025-07-12 16:30:00,0.0,2.0,333957,15,276,1,262,1752348600,26,True,True,0.0,0.0,0.0,4.0,0.0,2.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
