,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FF,FS,I,SG,FD,A,G,CV,FT,PC,PS,DE,GS,V,DP,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
113,10,68685,15,285,4,7,14.1,6.76,1.7,15.07,True,alan-patrick,Alan Patrick,A. Patrick,Alan Patrick Lourenço,3,10,5,2,11,1,0,5,4,3,0,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
114,13,87008,15,267,1,6,3.4,2.86,0.03,7.27,True,leo-jardim,Léo Jardim,L. Jardim,Leonardo César Jardim,0,0,0,0,3,0,2,0,0,0,0,0,0,0,33,17,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,False
115,9,68899,15,267,4,6,0.0,3.15,0.0,9.37,False,philippe-coutinho,Philippe Coutinho,P. Coutinho,Philippe Coutinho Correia,0,1,8,9,16,0,0,10,1,0,1,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,False
116,12,105584,15,267,2,6,3.7,3.74,0.47,7.56,True,lucas-piton,Lucas Piton,L. Piton,Lucas Piton Crivellaro,2,15,20,3,6,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,53.33,26.67,São Januário,2025-07-19 17:30:00,1,1,334028,13,284,16,267,1752957000,26,True,False
117,3,104666,15,356,5,5,0.0,3.53,0.0,11.49,False,moises,Moisés,Moisés,Moisés Vieira da Veiga,1,2,1,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
118,12,90703,15,287,4,7,2.0,4.62,-0.39,10.07,True,matheuzinho,Matheuzinho,Matheuzinho,Matheus Martins Fogaça de Paulo,3,15,10,1,34,1,0,7,0,2,1,0,0,0,0,0,0,0,0,0,33.33,40.0,Barradão,2025-07-20 16:00:00,0,1,334034,3,280,15,287,1753038000,26,True,False
119,10,91573,15,276,3,7,12.3,4.83,1.22,9.53,True,arboleda,Arboleda,Arboleda,Robert Abel Arboleda Escobar,2,16,9,4,6,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,33.33,26.67,Morumbis,2025-07-19 21:00:00,0,2,334030,10,264,14,276,1752969600,26,True,False
120,7,99818,15,275,5,5,0.0,1.03,0.0,5.0,False,paulinho,Paulinho,Paulinho,Paulo Henrique Sampaio Filho,0,2,1,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
121,8,99267,15,356,4,6,2.2,6.09,-0.08,11.54,True,pochettino,Pochettino,Pochettino,Tomás Pochettino,0,14,4,8,5,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
122,12,97900,15,285,3,7,8.8,3.7,0.37,8.59,True,vitao,Vitão,Vitão,Vitor Eduardo da Silva Matos,2,16,7,1,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,1,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
