,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DS,FC,FF,FS,I,SG,FD,A,G,CV,FT,PC,PS,DE,GS,V,DP,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
172,2,98974,15,262,2,6,5.0,4.85,0.41,9.4,True,vina,Viña,Viña,Matías Nicolás Viña Susperreguy,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
173,6,115914,15,262,4,7,0.5,3.25,-1.32,4.54,True,evertton-araujo,Evertton Araújo,E. Araújo,Everton Gustavo Fernandes Araújo,0,5,7,0,5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
174,8,90307,15,262,5,6,1.1,1.73,0.0,4.55,True,juninho,Juninho,Juninho,Olávio Vieira dos Santos Júnior,0,3,5,2,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
175,0,122320,15,262,2,6,0.0,0.0,0.0,2.0,False,daniel-sales,Daniel Sales,D. Sales,Daniel dos Santos Sales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
176,0,118090,15,262,3,6,0.0,0.0,0.0,2.0,False,iago,Iago,Iago,Iago Teodoro da Silva Nogueira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
177,0,114790,15,262,3,6,0.0,0.0,0.0,3.0,False,cleiton,Cleiton,Cleiton,Cleiton Santana dos Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
178,4,116012,15,262,4,6,-0.3,1.6,-0.66,3.77,True,matheus-goncalves,Matheus Gonçalves,M. Gonçalves,Matheus Gonçalves Martins,0,3,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
179,5,113073,15,356,4,6,0.0,2.4,0.0,3.89,False,kervin-andrade,Kervin Andrade,K. Andrade,Kervin Mario Andrade Navarro,1,3,2,1,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
180,0,130190,15,262,2,6,0.0,0.0,0.0,2.0,False,carbone,Carbone,Carbone,João Victor Schlickmann Carbone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
181,6,122573,15,262,5,2,3.7,3.62,0.46,5.09,True,wallace-yan,Wallace Yan,W. Yan,Wallace Yan de Souza Barreto,2,3,3,4,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
182,0,130382,15,262,4,6,0.0,0.0,0.0,2.0,False,guilherme-gomes,Guilherme Gomes,G. Gomes,Guilherme Henrique Bernardineli Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
183,0,122321,15,262,4,6,0.0,0.0,0.0,3.0,False,lorran,Lorran,Lorran,Lorran Lucas Pereira de Sousa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
184,0,137089,15,262,5,6,0.0,0.0,0.0,1.0,False,shola,Shola,Shola,Ogundana Shola Elijah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
185,0,140492,15,262,3,6,0.0,0.0,0.0,2.0,False,joao-victor,João Victor,J. Victor,João Victor de Souza Cunha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
186,0,128590,15,262,4,6,0.0,0.0,0.0,2.0,False,rayan-lucas,Rayan Lucas,R. Lucas,Rayan Lucas Marques de Souza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
187,9,68991,15,356,4,6,3.2,6.36,-0.5,8.29,True,lucas-sasha,Lucas Sasha,L. Sasha,Lucas Pacheco Affini,1,37,15,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
188,9,68952,15,356,5,6,11.4,3.57,2.0,7.97,True,marinho,Marinho,Marinho,Mário Sérgio Santos Costa,1,6,17,5,15,9,0,3,2,1,1,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
189,12,80196,15,356,4,6,0.0,3.33,-2.37,5.92,True,yago-pikachu,Yago Pikachu,Y. Pikachu,Glaybson Yago Souza Lisboa,0,7,4,3,10,3,0,3,0,2,0,1,0,1,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
190,6,82628,15,356,2,6,0.0,4.9,0.0,8.39,False,tinga,Tinga,Tinga,Guilherme de Jesus da Silva,1,4,4,2,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
191,6,52827,15,356,3,5,0.0,3.18,0.0,7.34,False,david-luiz,David Luiz,D. Luiz,David Luiz Moreira Marinho,2,5,6,4,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
192,8,92696,15,287,5,7,7.7,5.9,0.95,10.34,True,renato-kayzer,Renato Kayzer,R. Kayzer,Renato Kayzer de Souza,0,4,12,4,13,5,0,3,0,4,0,0,0,0,0,0,0,0,0,0,33.33,40.0,Barradão,2025-07-20 16:00:00,0,1,334034,3,280,15,287,1753038000,26,True,False
193,12,98619,15,356,3,6,3.5,3.4,0.18,6.44,True,kuscevic,Kuscevic,Kuscevic,Benjamín Kuščević Jaramillo,0,14,11,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
194,7,70916,15,356,2,6,5.9,4.55,0.8,8.44,True,diogo-barbosa,Diogo Barbosa,D. Barbosa,Diogo Barbosa Mendanha,1,8,3,1,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
195,13,105568,15,356,5,6,-0.2,3.13,-0.12,7.75,True,lucero,Lucero,Lucero,Juan Martín Lucero,3,7,15,3,6,5,0,4,1,3,0,1,0,0,0,0,0,0,1,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
196,8,93988,15,356,5,6,4.4,3.53,0.63,6.91,True,breno-lopes,Breno Lopes,B. Lopes,Breno Henrique Vasconcelos Lopes,1,2,6,7,17,7,0,3,0,1,0,1,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
197,8,86859,15,356,4,6,0.0,2.19,0.0,4.71,False,jose-welison,José Welison,J. Welison,José Welison da Silva,2,12,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
198,9,113078,15,356,2,6,0.0,3.12,-0.47,6.54,True,mancuso,Mancuso,Mancuso,Eros Nazareno Mancuso,1,9,5,4,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
199,0,101708,15,2305,2,6,0.0,0.0,0.0,6.0,False,felipe-jonatan,Felipe Jonatan,F. Jonatan,Felipe Jonatan Rocha Andrade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
200,2,100085,15,292,4,6,0.0,-1.85,0.0,1.25,False,pedro-augusto,Pedro Augusto,P. Augusto,Pedro Augusto Borges da Costa,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,86.67,13.33,Ilha do Retiro,2025-07-20 17:30:00,1,0,334039,5,263,20,292,1753043400,26,True,False
201,6,86766,15,356,4,6,0.0,1.27,0.0,3.71,False,matheus-rossetto,Matheus Rossetto,M. Rossetto,Matheus Rossetto,0,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
202,2,90061,15,356,2,5,0.0,3.1,0.0,7.99,False,bruno-pacheco,Bruno Pacheco,B. Pacheco,Bruno de Jesus Pacheco,1,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
203,5,105258,15,356,3,6,1.2,4.58,-1.2,8.76,True,gaston-avila,Gastón Ávila,G. Ávila,Gastón Luciano Ávila,0,10,2,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
204,1,100830,15,356,1,5,0.0,0.8,0.0,4.83,False,brenno,Brenno,Brenno,Brenno Oliveira Fraga Costa,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
205,11,103388,15,356,4,6,0.2,2.27,-0.45,5.12,True,emmanuel-martinez,Emmanuel Martínez,E. Martínez,Leandro Emmanuel Martínez,6,9,16,1,10,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,66.67,6.67,Castelão (CE),2025-07-19 16:00:00,1,1,334037,6,265,19,356,1752951600,26,True,False
206,10,99392,15,262,5,5,0.0,3.89,0.0,8.08,False,michael,Michael,Michael,Michael Richard Delgado de Oliveira,0,7,1,3,2,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,46.67,66.67,Maracanã,2025-07-20 19:30:00,0,1,334027,8,266,2,262,1753050600,26,True,False
207,11,70944,15,285,4,7,2.6,3.15,-0.42,6.63,True,bruno-henrique,Bruno Henrique,B. Henrique,Bruno Henrique Corsini,0,17,24,6,6,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
208,6,52271,15,285,4,5,0.0,2.75,0.0,5.95,False,fernando,Fernando,Fernando,Fernando Francisco Reges,0,8,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
209,0,72951,15,285,3,6,0.0,0.0,0.0,6.0,False,mercado,Mercado,Mercado,Gabriel Iván Mercado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
210,14,79437,15,285,6,7,8.16,5.28,0.3,10.28,True,roger-machado,Roger Machado,R. Machado,Roger Machado Marques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
211,0,88136,15,285,1,6,0.0,0.0,0.0,4.0,False,ivan,Ivan,Ivan,Ivan Quaresma da Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
212,3,105949,15,285,1,7,8.9,7.4,0.49,12.05,True,rochet,Rochet,Rochet,Sergio Ramón Rochet Álvarez,0,0,0,0,1,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
213,10,70788,15,285,5,6,1.3,2.18,-0.03,6.12,True,enner-valencia,Enner Valencia,E. Valencia,Enner Remberto Valencia Lastra,0,1,12,5,9,3,0,4,0,1,0,1,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
214,13,110510,15,285,2,7,12.5,5.84,0.87,9.39,True,aguirre,Aguirre,Aguirre,Braian Aguirre Nahuel,2,31,12,4,2,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
215,12,111683,15,285,1,6,0.0,1.8,0.0,3.98,False,anthoni,Anthoni,Anthoni,Anthoni Spier Souza,0,0,0,0,2,0,2,0,0,0,0,0,0,0,22,18,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
216,5,107989,15,285,5,7,-1.1,1.32,-0.91,3.67,True,carbonero,Carbonero,Carbonero,Johan Stiven Carbonero Balanta,1,1,8,3,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
217,5,111466,15,285,3,7,10.7,9.24,1.07,12.07,True,victor-gabriel,Victor Gabriel,V. Gabriel,Victor Gabriel da Conceição Ribeiro,0,13,6,1,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
218,0,103684,15,285,3,6,0.0,0.0,0.0,5.0,False,kaique-rocha,Kaíque Rocha,K. Rocha,Kaíque Rocha Lima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
219,0,106202,15,285,2,5,0.0,0.0,0.0,6.0,False,bruno-gomes,Bruno Gomes,B. Gomes,Bruno Gomes da Silva Clevelário,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
220,11,92981,15,285,4,6,0.0,1.95,0.0,4.2,False,ronaldo,Ronaldo,Ronaldo,Ronaldo da Silva Souza Guerrero,3,19,20,2,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
221,8,101960,15,285,5,5,0.0,2.27,0.0,5.23,False,vitinho,Vitinho,Vitinho,Vitor Hugo Naum dos Santos,2,11,13,3,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
222,5,124280,15,285,5,6,0.0,3.54,0.0,5.16,False,ricardo-mathias,Ricardo Mathias,R. Mathias,Ricardo Mathias da Silva,0,0,1,2,6,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
223,5,101597,15,285,2,6,0.0,3.52,0.0,5.92,False,ramon,Ramon,Ramon,Ramon Ramos Lima,1,7,4,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
224,4,122420,15,285,5,6,0.0,1.4,0.0,3.13,False,lucca,Lucca,Lucca,Lucca Holanda Sampaio Tavares,0,1,3,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
225,2,137618,15,285,3,6,0.0,1.7,0.0,3.38,False,clayton-sampaio,Clayton Sampaio,C. Sampaio,Clayton Sampaio Pereira,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
226,11,107174,15,285,4,6,1.5,3.65,-0.86,5.93,True,bruno-tabata,Bruno Tabata,B. Tabata,Bruno Vinícius Souza Ramos,2,11,5,3,13,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,26.67,46.67,Beira-Rio,2025-07-20 11:00:00,0,1,334033,11,354,12,285,1753020000,26,True,False
227,7,51413,15,2305,1,7,5.0,6.77,0.35,9.69,True,walter,Walter,Walter,Walter Leandro Capeloza Artune,1,0,0,0,1,0,3,0,0,0,0,0,0,0,23,4,0,1,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
228,11,73515,15,2305,4,7,4.1,2.74,0.54,5.72,True,gabriel,Gabriel,Gabriel,Gabriel Santana Pinto,1,3,1,2,8,5,0,4,0,2,0,0,0,1,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
229,6,73318,15,2305,2,7,5.0,3.88,0.88,4.71,True,daniel-borges,Daniel Borges,D. Borges,Daniel Fortunato Borges,2,3,5,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
230,11,87742,15,2305,4,7,1.5,2.17,-0.07,3.88,True,neto-moura,Neto Moura,N. Moura,Antônio Francisco Moura Neto,4,20,13,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
231,0,72279,15,2305,1,6,0.0,0.0,0.0,2.0,False,thomazella,Thomazella,Thomazella,Carlos Eduardo Lecciolle Thomazella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
232,4,82407,15,2305,4,6,0.0,3.85,0.22,6.21,False,chico-kim,Chico Kim,C. Kim,Francisco Hyun-Sol Kim,0,7,1,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
233,6,79066,15,2305,1,6,0.0,2.37,0.0,3.34,False,alex-muralha,Alex Muralha,A. Muralha,Alex Roberto Santana Rafael,2,0,0,0,1,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
234,0,50317,15,2305,3,6,0.0,0.0,0.0,5.0,False,david-braz,David Braz,D. Braz,David Braz de Oliveira Filho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
235,0,68872,15,275,1,6,0.0,0.0,0.0,7.0,False,marcelo-lomba,Marcelo Lomba,M. Lomba,Marcelo Lomba do Nascimento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
236,13,97460,15,2305,3,3,1.7,2.47,-0.79,2.93,True,joao-victor,João Victor,J. Victor,João Victor Carroll Santana,2,9,10,3,6,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
237,12,82775,15,2305,2,3,8.8,6.04,1.08,9.43,True,lucas-ramon,Lucas Ramon,L. Ramon,Lucas Ramon Batista Silva,3,25,15,1,16,1,3,4,1,1,0,0,0,1,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
238,0,53865,15,2305,5,6,0.0,0.0,0.0,4.0,False,leo-gamalho,Léo Gamalho,L. Gamalho,Leonardo Gamalho de Souza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
239,0,63013,15,275,2,6,0.0,0.0,0.0,7.0,False,marcos-rocha,Marcos Rocha,M. Rocha,Marcos Luis Rocha Aquino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
240,0,80225,15,2305,5,6,0.0,0.0,0.0,4.0,False,rafa-silva,Rafa Silva,R. Silva,Rafael da Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
241,3,81150,15,275,2,6,0.0,3.4,0.0,8.36,False,mayke,Mayke,Mayke,Mayke Rocha de Oliveira,1,5,10,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
242,0,86863,15,2305,3,6,0.0,0.0,0.0,4.0,False,luiz-otavio,Luiz Otávio,L. Otávio,Luiz Otávio da Silva Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
243,0,89285,15,2305,4,6,0.0,0.0,0.0,4.0,False,matheus-sales,Matheus Sales,M. Sales,Matheus de Sales Cabral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
244,10,71684,15,275,3,7,6.1,4.3,0.16,9.49,True,gustavo-gomez,Gustavo Gómez,G. Gómez,Gustavo Raúl Gómez Portillo,3,15,13,4,7,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
245,4,105585,15,2305,4,6,0.0,0.13,0.0,1.91,False,roni,Roni,Roni,Roni Medeiros de Moura,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
246,9,98384,15,2305,5,2,5.4,2.03,0.89,3.8,True,negueba,Negueba,Negueba,Luiz Henrique Soares Firmino,2,6,7,4,16,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
247,10,70592,15,275,4,7,4.2,3.17,-0.05,6.72,True,felipe-anderson,Felipe Anderson,F. Anderson,Felipe Anderson Pereira Gomes,0,14,9,5,6,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
248,10,104085,15,275,3,3,3.3,4.53,-0.1,7.33,True,bruno-fuchs,Bruno Fuchs,B. Fuchs,Bruno de Lara Fuchs,3,14,8,1,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
249,12,124526,15,275,2,7,2.9,6.67,-0.23,9.36,True,giay,Giay,Giay,Agustín Giay,0,31,13,3,20,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
250,11,102950,15,275,5,7,9.2,5.45,0.06,11.42,True,facundo-torres,Facundo Torres,F. Torres,Facundo Daniel Torres Pérez,1,9,9,3,12,1,0,4,2,3,0,1,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
251,11,105903,15,2305,4,6,-0.6,2.19,-0.48,3.29,True,jose-aldo,José Aldo,J. Aldo,José Aldo Soares de Oliveira Filho,2,14,10,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.67,73.33,Maião,2025-07-19 18:30:00,0,3,334031,17,277,7,2305,1752960600,26,True,False
252,13,110506,15,275,6,7,7.28,6.34,0.33,12.47,True,abel-ferreira,Abel Ferreira,A. Ferreira,Abel Fernando Moreira Ferreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
253,9,105647,15,275,4,7,12.1,3.33,1.83,9.91,True,mauricio,Maurício,Maurício,Maurício Magalhães Prado,0,5,6,5,4,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
254,0,92811,15,275,5,6,0.0,0.0,0.0,6.0,False,bruno-rodrigues,Bruno Rodrigues,B. Rodrigues,Bruno Rafael Rodrigues do Nascimento,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
255,10,112869,15,275,4,7,3.0,2.39,-0.42,4.75,True,anibal-moreno,Aníbal Moreno,A. Moreno,Aníbal Ismael Moreno,1,14,6,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46.67,33.33,Allianz Parque,2025-07-20 17:30:00,2,3,334029,9,282,4,275,1753043400,26,True,False
