,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,CA,DE,DP,FS,GS,SG,DS,FC,FF,I,CV,FD,FT,PC,G,A,PS,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
91,0,131455,14,284,5,6,0.0,0.0,0.0,1.0,False,jardiel,Jardiel,Jardiel,Jardiel Maciel Libertino da Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46.67,Arena do Grêmio,2025-07-29 20:30:00,,,334003,19,356,12,284,1753831800,26,False,False
92,0,129930,14,263,1,6,0.0,0.0,0.0,2.0,False,cristhian-loor,Cristhian Loor,C. Loor,Cristhian Joel Loor Santamaría - Christian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,73.33,Nilton Santos (Engenhão),2025-07-16 21:30:00,0.0,0.0,333998,17,287,6,263,1752712200,26,True,False
93,2,96353,14,263,5,6,0.0,1.0,-1.47,11.97,True,joaquin-correa,Joaquín Correa,J. Correa,Carlos Joaquín Correa,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,20.0,73.33,Nilton Santos (Engenhão),2025-07-16 21:30:00,0.0,0.0,333998,17,287,6,263,1752712200,26,True,False
94,0,141595,14,284,5,6,0.0,0.0,0.0,2.0,False,gabriel-mec,Gabriel Mec,G. Mec,Gabriel Ferreira de Carvalho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46.67,Arena do Grêmio,2025-07-29 20:30:00,,,334003,19,356,12,284,1753831800,26,False,False
95,1,82639,14,286,2,7,0.0,6.2,0.0,6.02,False,marcelo-hermes,Marcelo Hermes,M. Hermes,Marcelo Gazella Hermes,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,False
96,1,121866,14,286,4,7,0.0,0.2,0.0,1.89,False,hudson,Hudson,Hudson,Hudson Alexandre Batista da Silva,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,False
97,1,78478,14,277,4,6,-0.3,-0.3,-0.81,7.19,True,willian-arao,Willian Arão,W. Arão,Willian Souza Arão da Silva,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,66.67,60.0,Vila Belmiro,2025-07-16 20:00:00,0.0,1.0,334000,2,262,13,277,1752706800,26,True,False
98,2,145269,14,263,6,7,6.85,7.43,0.6,12.47,True,davide-ancelotti,Davide Ancelotti,D. Ancelotti,Davide Ancelotti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.0,73.33,Nilton Santos (Engenhão),2025-07-16 21:30:00,0.0,0.0,333998,17,287,6,263,1752712200,26,True,False
99,0,103576,14,286,5,6,0.0,0.0,0.0,3.0,False,rafael-bilu,Rafael Bilu,R. Bilu,Rafael Bilu Mudesto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,False
100,0,110750,14,280,3,6,0.0,0.0,0.0,4.0,False,gustavo-marques,Gustavo Marques,G. Marques,Gustavo Marques Alves dos Santos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,66.67,Cícero de Souza Marques,2025-07-16 21:30:00,2.0,2.0,334001,16,276,3,280,1752712200,26,True,False
101,0,94931,14,286,4,6,0.0,0.0,0.0,5.0,False,lucas-fernandes,Lucas Fernandes,L. Fernandes,Lucas Fernandes da Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,False
102,0,91254,14,284,4,6,0.0,0.0,0.0,6.0,False,carballo,Carballo,Carballo,Felipe Ignacio Carballo Ares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46.67,Arena do Grêmio,2025-07-29 20:30:00,,,334003,19,356,12,284,1753831800,26,False,False
103,1,142867,14,277,5,6,0.5,0.5,0.02,2.02,True,robinho-jr,Robinho Jr.,R. Jr.,Robson de Souza Júnior,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,60.0,Vila Belmiro,2025-07-16 20:00:00,0.0,1.0,334000,2,262,13,277,1752706800,26,True,False
104,1,112863,14,275,5,6,-0.1,-0.1,-0.81,8.19,True,ramon-sosa,Ramón Sosa,R. Sosa,Ramón Sosa Acosta,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Allianz Parque,2025-07-16 19:00:00,1.0,1.0,333999,11,2305,5,275,1752703200,26,True,False
105,0,110759,14,266,5,6,0.0,0.0,0.0,9.0,False,john-kennedy,John Kennedy,J. Kennedy,John Kennedy Batista de Souza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.67,46.67,Maracanã,2025-07-17 19:30:00,2.0,0.0,333997,1,283,7,266,1752791400,26,True,False
106,1,124247,14,282,5,6,0.0,0.5,0.0,1.1,False,isaac,Isaac,Isaac,Isaac Aguiar Tomich,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,53.33, Arena MRV,2025-07-16 20:30:00,,,334002,20,292,8,282,1752708600,26,False,False
107,13,104994,14,284,3,7,0.0,3.05,0.0,6.13,False,wagner-leonardo,Wagner Leonardo,W. Leonardo,Wagner Leonardo Calvelo de Souza,2,0,0,2,0,3,13,12,0,1,0,4,0,0,0,1,0,0,0,0,0.0,46.67,Arena do Grêmio,2025-07-29 20:30:00,,,334003,19,356,12,284,1753831800,26,False,False
108,10,81121,14,354,4,3,-1.6,4.19,-0.66,6.45,True,lucas-mugni,Lucas Mugni,L. Mugni,Lucas Andrés Mugni,3,0,0,8,0,0,15,16,5,1,0,1,0,0,1,2,0,0,0,0,40.0,40.0,Castelão (CE),2025-07-16 19:30:00,1.0,0.0,334005,9,264,10,354,1752705000,26,True,False
109,0,142484,14,263,4,6,0.0,0.0,0.0,5.0,False,barrera,Barrera,Barrera,Jordan Andrés Barrera Herrera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,73.33,Nilton Santos (Engenhão),2025-07-16 21:30:00,0.0,0.0,333998,17,287,6,263,1752712200,26,True,False
110,11,123795,14,265,5,2,0.0,1.15,0.0,5.5,False,lucho-rodriguez,Lucho Rodríguez,L. Rodríguez,Luciano Rodríguez Rosales,1,0,0,7,0,0,2,9,8,1,0,3,0,0,0,0,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
111,10,94207,14,277,5,7,7.9,7.55,-0.1,10.45,True,guilherme,Guilherme,Guilherme,Guilherme Augusto Vieira dos Santos,0,0,0,20,0,0,21,5,11,3,0,5,0,0,2,1,0,0,0,0,66.67,60.0,Vila Belmiro,2025-07-16 20:00:00,0.0,1.0,334000,2,262,13,277,1752706800,26,True,False
112,11,37457,14,354,6,7,1.57,5.81,-0.81,7.96,True,leo-conde,Léo Condé,L. Condé,Leonardo Rodrigues Condé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,40.0,40.0,Castelão (CE),2025-07-16 19:30:00,1.0,0.0,334005,9,264,10,354,1752705000,26,True,False
113,7,70216,14,286,1,7,0.0,3.69,0.0,5.85,False,gustavo,Gustavo,Gustavo,Luiz Gustavo de Almeida Pinto,1,21,1,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,False
114,12,51772,14,265,4,7,0.0,3.48,0.0,7.74,False,everton-ribeiro,Everton Ribeiro,E. Ribeiro,Everton Augusto de Barros Ribeiro,2,0,0,17,0,0,18,11,2,0,1,4,0,0,1,0,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
115,9,98672,14,263,4,7,3.6,4.96,0.2,10.45,True,savarino,Savarino,Savarino,Jefferson David Savarino Quintero,1,0,0,7,0,0,4,4,10,1,0,7,0,0,2,1,0,0,0,0,20.0,73.33,Nilton Santos (Engenhão),2025-07-16 21:30:00,0.0,0.0,333998,17,287,6,263,1752712200,26,True,False
116,2,101651,14,286,4,6,0.0,2.0,0.0,3.54,False,peixoto,Peixoto,Peixoto,Daniel Nascimento Peixoto dos Santos,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,False
117,0,144417,14,277,5,6,0.0,0.0,0.0,1.0,False,padula,Padula,Padula,Pedro Padula Tobias de Aguiar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,60.0,Vila Belmiro,2025-07-16 20:00:00,0.0,1.0,334000,2,262,13,277,1752706800,26,True,False
118,13,97341,14,265,6,7,0.0,5.47,0.0,9.08,False,rogerio-ceni,Rogério Ceni,R. Ceni,Rogério Mücke Ceni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
119,2,98484,14,265,3,5,0.0,2.85,0.0,4.58,False,kanu,Kanu,Kanu,Victor Hugo Soares dos Santos,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,33.33,80.0,Fonte Nova,2025-07-16 00:00:00,,,334004,14,285,4,265,1752634800,26,False,False
120,12,72294,14,282,1,6,0.0,5.47,0.0,10.33,False,everson,Everson,Everson,Everson Felipe Marques Pires,3,32,0,4,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,53.33, Arena MRV,2025-07-16 20:30:00,,,334002,20,292,8,282,1752708600,26,False,False
121,13,87999,14,282,4,7,0.0,3.41,0.0,9.78,False,gustavo-scarpa,Gustavo Scarpa,G. Scarpa,Gustavo Henrique Furtado Scarpa,2,0,0,19,0,0,8,12,12,2,0,5,0,0,1,1,0,0,0,0,6.67,53.33, Arena MRV,2025-07-16 20:30:00,,,334002,20,292,8,282,1752708600,26,False,False
122,12,37656,14,266,1,7,1.9,3.24,-1.01,8.7,True,fabio,Fábio,Fábio,Fábio Deivson Lopes Maciel,1,30,0,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.67,46.67,Maracanã,2025-07-17 19:30:00,2.0,0.0,333997,1,283,7,266,1752791400,26,True,False
123,11,106082,14,286,2,6,0.0,3.64,0.0,6.24,False,ewerthon,Ewerthon,Ewerthon,Ewerthon Diógenes da Silva,2,0,0,7,0,1,20,7,4,0,0,2,0,0,0,0,0,0,0,0,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,False
124,8,37715,14,266,3,7,6.2,2.72,0.34,9.21,True,thiago-silva,Thiago Silva,T. Silva,Thiago Emiliano da Silva,0,0,0,3,0,2,2,2,3,0,0,2,1,0,0,0,0,0,0,0,86.67,46.67,Maracanã,2025-07-17 19:30:00,2.0,0.0,333997,1,283,7,266,1752791400,26,True,False
125,8,97899,14,354,2,7,2.0,7.49,-0.54,9.27,True,matheus-bahia,Matheus Bahia,M. Bahia,Matheus Bahia Santos,1,0,0,10,0,5,16,7,2,0,0,2,0,0,0,1,0,0,0,0,40.0,40.0,Castelão (CE),2025-07-16 19:30:00,1.0,0.0,334005,9,264,10,354,1752705000,26,True,False
126,7,38913,14,286,4,6,0.0,1.57,0.0,3.69,False,nene,Nenê,Nenê,Anderson Luis de Carvalho - Luiz,0,0,0,11,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,False
127,13,42411,14,282,6,7,0.0,6.09,0.0,10.12,False,cuca,Cuca,Cuca,Alexi Stival,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6.67,53.33, Arena MRV,2025-07-16 20:30:00,,,334002,20,292,8,282,1752708600,26,False,False
128,12,99815,14,266,4,6,3.3,5.88,-0.58,13.42,True,arias,Arias,Arias,Jhon Adolfo Arias Andrade,1,0,0,32,0,0,12,15,8,1,0,4,1,0,1,4,0,0,0,0,86.67,46.67,Maracanã,2025-07-17 19:30:00,2.0,0.0,333997,1,283,7,266,1752791400,26,True,False
129,13,72018,14,284,1,7,0.0,3.65,0.0,6.67,False,tiago-volpi,Tiago Volpi,T. Volpi,Tiago Luis Volpi,2,40,0,5,19,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,46.67,Arena do Grêmio,2025-07-29 20:30:00,,,334003,19,356,12,284,1753831800,26,False,False
130,8,107516,14,286,5,6,0.0,3.02,0.0,4.62,False,enio,Ênio,Ênio,Sebastião Ênio Santos de Almeida,2,0,0,15,0,0,4,4,3,2,0,3,0,0,1,0,0,0,0,0,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,False
131,4,97653,14,275,3,5,0.0,2.82,0.0,7.72,False,murilo,Murilo,Murilo,Murilo Cerqueira Paim,3,0,0,1,0,1,2,8,0,0,0,1,0,1,1,0,0,0,0,0,73.33,46.67,Allianz Parque,2025-07-16 19:00:00,1.0,1.0,333999,11,2305,5,275,1752703200,26,True,False
132,12,102256,14,277,4,7,0.0,1.94,0.0,6.95,False,rollheiser,Rollheiser,Rollheiser,Benjamín Rollheiser,3,0,0,11,0,0,6,13,6,1,0,0,2,0,0,1,0,0,0,0,66.67,60.0,Vila Belmiro,2025-07-16 20:00:00,0.0,1.0,334000,2,262,13,277,1752706800,26,True,False
133,11,97145,14,284,4,7,0.0,4.98,0.0,10.63,False,villasanti,Villasanti,Villasanti,Mathías Adalberto Villasanti Rolón,5,0,0,8,0,0,40,22,3,0,0,0,0,0,0,0,0,0,0,0,0.0,46.67,Arena do Grêmio,2025-07-29 20:30:00,,,334003,19,356,12,284,1753831800,26,False,False
134,9,61188,14,286,5,7,0.0,2.61,0.0,6.27,False,gilberto,Gilberto,Gilberto,Gilberto Oliveira Souza Júnior,2,0,0,7,0,0,0,12,3,2,0,2,0,0,2,1,0,0,0,0,40.0,26.67, Alfredo Jaconi,2025-07-16 20:30:00,,,334006,15,267,18,286,1752708600,26,False,False
135,0,98280,14,263,3,5,0.0,0.0,0.0,11.0,False,bastos,Bastos,Bastos,Bartolomeu Jacinto Quissanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,73.33,Nilton Santos (Engenhão),2025-07-16 21:30:00,0.0,0.0,333998,17,287,6,263,1752712200,26,True,False
136,12,102130,14,275,2,7,3.3,5.54,0.31,11.5,True,piquerez,Piquerez,Piquerez,Joaquín Piquerez Moreira,2,0,0,7,0,5,12,6,10,0,0,3,0,0,2,0,0,0,1,0,73.33,46.67,Allianz Parque,2025-07-16 19:00:00,1.0,1.0,333999,11,2305,5,275,1752703200,26,True,False
137,7,79631,14,266,5,7,1.3,2.9,-0.15,8.26,True,cano,Cano,Cano,Germán Ezequiel Cano,1,0,0,8,0,0,1,4,10,2,0,1,0,0,1,0,0,0,0,0,86.67,46.67,Maracanã,2025-07-17 19:30:00,2.0,0.0,333997,1,283,7,266,1752791400,26,True,False
138,7,99818,14,275,5,5,0.0,1.03,0.0,5.0,False,paulinho,Paulinho,Paulinho,Paulo Henrique Sampaio Filho,0,0,0,2,0,0,2,1,3,1,0,1,0,0,0,0,0,0,0,0,73.33,46.67,Allianz Parque,2025-07-16 19:00:00,1.0,1.0,333999,11,2305,5,275,1752703200,26,True,False
139,2,130612,14,275,5,6,0.0,1.0,0.0,3.85,False,luighi,Luighi,Luighi,Luighi Hanri Sousa Santos,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73.33,46.67,Allianz Parque,2025-07-16 19:00:00,1.0,1.0,333999,11,2305,5,275,1752703200,26,True,False
140,7,99274,14,263,3,7,9.7,6.76,0.75,11.53,True,alexander-barboza,Alexander Barboza,A. Barboza,Alexander Nahuel Barboza Ullúa,4,0,0,0,0,5,18,13,4,0,0,0,0,0,0,0,0,0,0,0,20.0,73.33,Nilton Santos (Engenhão),2025-07-16 21:30:00,0.0,0.0,333998,17,287,6,263,1752712200,26,True,False
141,11,84042,14,277,5,6,0.0,3.4,0.0,8.83,False,tiquinho-soares,Tiquinho Soares,T. Soares,Francisco das Chagas Soares dos Santos Meireles,2,0,0,13,0,0,6,17,8,2,0,4,0,0,1,2,0,0,0,0,66.67,60.0,Vila Belmiro,2025-07-16 20:00:00,0.0,1.0,334000,2,262,13,277,1752706800,26,True,False
142,8,102928,14,266,5,6,0.0,3.76,0.0,7.81,False,canobbio,Canobbio,Canobbio,Agustín Canobbio Graviz,1,0,0,10,0,0,11,10,3,2,0,2,0,0,1,0,0,0,0,0,86.67,46.67,Maracanã,2025-07-17 19:30:00,2.0,0.0,333997,1,283,7,266,1752791400,26,True,False
143,9,98909,14,282,5,6,0.0,3.63,0.0,7.49,False,cuello,Cuello,Cuello,Tomás Esteban Cuello,3,0,0,15,0,0,6,11,9,0,0,6,0,0,1,0,0,0,0,0,6.67,53.33, Arena MRV,2025-07-16 20:30:00,,,334002,20,292,8,282,1752708600,26,False,False
144,5,87228,14,282,2,7,0.0,5.02,0.0,10.43,False,guilherme-arana,Guilherme Arana,G. Arana,Guilherme Antonio Arana Lopes,2,0,0,3,0,2,7,5,3,0,0,1,1,0,0,0,0,0,0,0,6.67,53.33, Arena MRV,2025-07-16 20:30:00,,,334002,20,292,8,282,1752708600,26,False,False
145,6,87258,14,266,5,7,1.3,1.65,-0.3,8.53,True,soteldo,Soteldo,Soteldo,Yeferson Julio Soteldo Martínez,1,0,0,7,0,0,3,2,3,1,0,1,0,0,0,0,0,0,0,0,86.67,46.67,Maracanã,2025-07-17 19:30:00,2.0,0.0,333997,1,283,7,266,1752791400,26,True,False
146,13,88312,14,282,3,7,0.0,4.23,0.0,6.24,False,junior-alonso,Junior Alonso,J. Alonso,Júnior Osmar Ignacio Alonso Mujica,2,0,0,5,0,7,9,11,4,0,0,1,0,0,0,1,0,0,0,0,6.67,53.33, Arena MRV,2025-07-16 20:30:00,,,334002,20,292,8,282,1752708600,26,False,False
147,12,91607,14,282,5,7,0.0,5.6,0.0,11.8,False,rony,Rony,Rony,Ronielson da Silva Barbosa,3,0,0,18,0,0,14,23,6,12,0,13,1,0,3,0,1,0,0,0,6.67,53.33, Arena MRV,2025-07-16 20:30:00,,,334002,20,292,8,282,1752708600,26,False,False
148,10,89368,14,284,5,7,0.0,6.12,0.0,14.39,False,braithwaite,Braithwaite,Braithwaite,Martin Christensen Braithwaite,2,0,0,12,0,0,8,11,6,2,0,5,0,0,4,1,1,0,0,0,0.0,46.67,Arena do Grêmio,2025-07-29 20:30:00,,,334003,19,356,12,284,1753831800,26,False,False
149,9,39656,14,282,4,7,0.0,1.87,0.0,4.7,False,alan-franco,Alan Franco,A. Franco,Alan Steven Franco Palma,1,0,0,7,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,6.67,53.33, Arena MRV,2025-07-16 20:30:00,,,334002,20,292,8,282,1752708600,26,False,False
150,9,92087,14,282,3,7,0.0,6.02,0.0,8.87,False,lyanco,Lyanco,Lyanco,Lyanco Evangelista Silveira Neves Vojnovic,2,0,0,13,0,5,20,17,3,2,2,3,0,0,0,0,0,0,0,0,6.67,53.33, Arena MRV,2025-07-16 20:30:00,,,334002,20,292,8,282,1752708600,26,False,False
