,atletas.jogos_num,atletas.atleta_id,atletas.rodada_id,atletas.clube_id,atletas.posicao_id,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.slug,atletas.apelido,atletas.apelido_abreviado,atletas.nome,A,CA,DS,FC,FD,FF,FS,G,I,SG,CV,FT,PC,PS,DE,DP,GS,V,PP,GC,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante
127,16,90768,17,283,3,7,3.8,4.66,-0.27,8.54,True,fabricio-bruno,Fabrício Bruno,F. Bruno,Fabrício Bruno Soares de Faria,0,3,17,10,1,1,10,1,0,8,0,0,0,0,0,0,0,0,0,0,40.0,66.67,Mineirão,2025-07-27 16:00:00,2,1,334102,9,354,2,283,1753642800,26,True,False
128,6,69783,17,262,3,5,0.0,6.63,0.0,14.33,False,danilo,Danilo,Danilo,Danilo Luiz da Silva,0,0,4,8,1,0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,40.0,80.0,Maracanã,2025-07-27 20:30:00,0,1,334097,13,282,1,262,1753659000,26,True,False
129,0,70164,17,276,4,5,0.0,0.0,0.0,5.0,False,lucas-moura,Lucas Moura,L. Moura,Lucas Rodrigues Moura da Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,66.67,Morumbis,2025-07-27 16:00:00,1,3,334100,12,266,8,276,1753642800,26,True,False
130,15,90285,17,262,5,7,8.9,2.6,1.33,7.03,True,bruno-henrique,Bruno Henrique,B. Henrique,Bruno Henrique Pinto,0,3,10,21,9,10,15,1,9,0,0,0,0,0,0,0,0,0,0,0,40.0,80.0,Maracanã,2025-07-27 20:30:00,0,1,334097,13,282,1,262,1753659000,26,True,False
131,11,94583,17,262,5,3,2.3,6.18,-0.06,16.16,True,pedro,Pedro,Pedro,Pedro Guilherme Abreu dos Santos,2,3,4,4,10,1,7,5,1,0,0,1,0,1,0,0,0,0,1,0,40.0,80.0,Maracanã,2025-07-27 20:30:00,0,1,334097,13,282,1,262,1753659000,26,True,False
132,11,110426,17,285,2,7,6.8,6.23,0.46,14.01,True,bernabei,Bernabéi,Bernabéi,Alexandro Ezequiel Bernabéi,2,1,27,20,4,6,11,0,1,2,0,0,0,0,0,0,0,0,0,0,33.33,66.67,Beira-Rio,2025-07-27 18:30:00,1,1,334103,16,267,10,285,1753651800,26,True,False
133,15,78850,17,2305,2,3,1.3,7.31,-0.78,9.6,True,reinaldo,Reinaldo,Reinaldo,Reinaldo Manoel da Silva,2,3,12,10,4,6,12,7,0,4,0,0,0,0,0,0,0,0,1,0,40.0,73.33,Maião,2025-07-26 18:30:00,1,1,334101,15,287,7,2305,1753565400,26,True,False
134,16,139076,17,262,6,7,8.82,7.49,0.52,13.3,True,filipe-luis,Filipe Luís,F. Luís,Filipe Luís Kasmirski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,40.0,80.0,Maracanã,2025-07-27 20:30:00,0,1,334097,13,282,1,262,1753659000,26,True,False
135,11,81881,17,356,1,5,0.0,4.75,0.0,8.76,False,joao-ricardo,João Ricardo,J. Ricardo,João Ricardo Riedi,0,0,0,0,0,0,0,0,0,4,0,0,0,0,41,0,18,0,0,1,26.67,26.67,Castelão (CE),2025-07-26 18:30:00,1,3,334105,5,280,18,356,1753565400,26,True,False
136,8,103347,17,292,2,7,0.6,1.55,-0.4,4.02,True,matheus-alexandre,Matheus Alexandre,M. Alexandre,Matheus Alexandre Anastácio de Souza,0,5,9,13,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,46.67,13.33,Ilha do Retiro,2025-07-26 18:30:00,2,2,334106,17,277,20,292,1753565400,26,True,False
137,4,97653,17,275,3,5,0.0,2.82,0.0,7.72,False,murilo,Murilo,Murilo,Murilo Cerqueira Paim,0,3,2,8,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,33.33,66.67,Allianz Parque,2025-07-26 21:00:00,0,1,334099,14,284,3,275,1753574400,26,True,False
138,4,130612,17,275,5,6,3.4,1.2,0.52,3.75,True,luighi,Luighi,Luighi,Luighi Hanri Sousa Santos,0,0,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,66.67,Allianz Parque,2025-07-26 21:00:00,0,1,334099,14,284,3,275,1753574400,26,True,False
139,3,89840,17,276,5,5,0.0,-0.77,0.0,5.78,False,calleri,Calleri,Calleri,Jonathan Calleri,0,0,1,2,1,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,20.0,66.67,Morumbis,2025-07-27 16:00:00,1,3,334100,12,266,8,276,1753642800,26,True,False
140,3,104666,17,356,5,5,0.0,3.53,0.0,11.49,False,moises,Moisés,Moisés,Moisés Vieira da Veiga,1,1,2,1,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,26.67,26.67,Castelão (CE),2025-07-26 18:30:00,1,3,334105,5,280,18,356,1753565400,26,True,False
141,9,99267,17,356,4,5,6.5,6.14,0.62,12.16,True,pochettino,Pochettino,Pochettino,Tomás Pochettino,2,0,15,4,6,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,26.67,26.67,Castelão (CE),2025-07-26 18:30:00,1,3,334105,5,280,18,356,1753565400,26,True,False
142,7,99818,17,275,5,5,0.0,1.03,0.0,5.0,False,paulinho,Paulinho,Paulinho,Paulo Henrique Sampaio Filho,0,0,2,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,33.33,66.67,Allianz Parque,2025-07-26 21:00:00,0,1,334099,14,284,3,275,1753574400,26,True,False
143,12,91573,17,276,3,7,11.8,5.43,1.25,9.95,True,arboleda,Arboleda,Arboleda,Robert Abel Arboleda Escobar,0,2,18,9,0,5,6,2,2,4,0,0,0,0,0,0,0,0,0,0,20.0,66.67,Morumbis,2025-07-27 16:00:00,1,3,334100,12,266,8,276,1753642800,26,True,False
144,9,99274,17,263,3,7,2.6,6.77,-1.16,10.86,True,alexander-barboza,Alexander Barboza,A. Barboza,Alexander Nahuel Barboza Ullúa,0,5,24,15,1,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
145,13,97900,17,285,3,7,0.0,3.38,0.0,7.26,False,vitao,Vitão,Vitão,Vitor Eduardo da Silva Matos,1,3,16,8,1,2,1,0,0,4,0,0,0,0,0,0,0,0,0,1,33.33,66.67,Beira-Rio,2025-07-27 18:30:00,1,1,334103,16,267,10,285,1753651800,26,True,False
146,14,102130,17,275,2,7,9.5,5.89,0.62,12.47,True,piquerez,Piquerez,Piquerez,Joaquín Piquerez Moreira,1,2,16,6,3,10,7,2,0,6,0,0,0,0,0,0,0,0,1,0,33.33,66.67,Allianz Parque,2025-07-26 21:00:00,0,1,334099,14,284,3,275,1753574400,26,True,False
147,12,92854,17,285,5,7,3.4,4.18,-1.08,11.1,True,borre,Borré,Borré,Rafael Santos Borré Maury,1,0,6,8,4,6,5,3,4,0,0,1,0,0,0,0,0,0,0,0,33.33,66.67,Beira-Rio,2025-07-27 18:30:00,1,1,334103,16,267,10,285,1753651800,26,True,False
148,0,98280,17,263,3,5,0.0,0.0,0.0,11.0,False,bastos,Bastos,Bastos,Bartolomeu Jacinto Quissanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
149,9,99228,17,262,4,6,0.0,2.25,0.0,8.21,False,de-la-cruz,De la Cruz,D. Cruz,Diego Nicolás de la Cruz Arcosa,0,3,9,11,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,80.0,Maracanã,2025-07-27 20:30:00,0,1,334097,13,282,1,262,1753659000,26,True,False
150,11,92708,17,356,5,6,10.3,3.7,1.51,7.25,True,deyverson,Deyverson,Deyverson,Deyverson Brum Silva Acosta,0,1,3,9,3,10,13,2,2,0,0,2,0,0,0,0,0,0,0,0,26.67,26.67,Castelão (CE),2025-07-26 18:30:00,1,3,334105,5,280,18,356,1753565400,26,True,False
151,7,69140,17,263,4,6,8.8,1.79,1.82,4.66,True,allan,Allan,Allan,Allan Marques Loureiro,0,2,9,14,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
152,13,72493,17,263,2,7,0.0,5.24,-1.33,9.76,True,alex-telles,Alex Telles,A. Telles,Alex Nicolao Telles,0,1,7,13,2,4,8,1,1,9,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
153,0,87808,17,263,3,6,0.0,0.0,0.0,3.0,False,philipe-sampaio,Philipe Sampaio,P. Sampaio,Philipe Sampaio Azevedo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
154,13,93790,17,263,4,7,0.0,2.61,0.0,5.74,False,marlon-freitas,Marlon Freitas,M. Freitas,Marlon Rodrigues Freitas,3,3,11,12,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
155,14,94044,17,263,1,7,2.9,6.92,-1.12,11.84,True,john,John,John,John Victor Maciel Furtado,0,2,1,1,0,0,3,0,0,9,0,0,0,0,44,0,6,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
156,2,86777,17,263,4,6,0.0,-0.65,0.0,4.35,False,danilo-barbosa,Danilo Barbosa,D. Barbosa,Danilo Barbosa da Silva,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,73.33,Nilton Santos (Engenhão),2025-07-26 18:30:00,1,1,334098,11,264,6,263,1753565400,26,True,False
