atletas.atleta_id,previsao_pontos,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC,media_CA_5_rodadas,media_DS_5_rodadas,media_FC_5_rodadas,media_FF_5_rodadas,media_FS_5_rodadas,media_I_5_rodadas,media_SG_5_rodadas,media_FD_5_rodadas,media_A_5_rodadas,media_G_5_rodadas,media_CV_5_rodadas,media_FT_5_rodadas,media_PC_5_rodadas,media_PS_5_rodadas,media_DE_5_rodadas,media_GS_5_rodadas,media_V_5_rodadas,media_DP_5_rodadas,media_PP_5_rodadas,media_GC_5_rodadas
103445,11.225819432588597,18,7,,1.31,11.45,kaio-jorge,Kaio Jorge,Kaio Jorge Pinto Ramos,,True,16,283,5,16.87,,K. Jorge,66.67,73.33,Nilton Santos (Engenhão),2025-08-03 16:00:00,,,334129,2,283,6,263,1754247600,26,True,True,4.0,2.0,17.0,16.0,10.0,16.0,18.0,5.0,13.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,15.2,11.8,14.2,17.6,5.0,0.0,8.8,3.2,12.0,0.0,3.0,0.0,1.6,0.0,0.0,0.0,0.0,1.0,0.0
80287,10.452832481664087,18,7,,-0.61,6.9,luciano,Luciano,Luciano da Rocha Neves,,True,14,276,5,10.35,,Luciano,66.67,66.67,Beira-Rio,2025-08-03 20:30:00,,,334138,8,276,10,285,1754263800,26,True,True,3.0,4.0,15.0,18.0,11.0,18.0,22.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.4,13.2,12.4,15.0,18.2,1.2,0.0,9.0,1.8,2.6,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0
63007,10.383538488284463,18,7,,-1.17,3.83,neymar,Neymar,Neymar da Silva Santos Júnior,,True,8,277,4,14.5,,Neymar,20.0,46.67,Morumbis,2025-08-04 20:00:00,,,334133,19,286,17,277,1754348400,26,True,False,0.0,1.0,1.0,11.0,6.0,5.0,29.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,8.8,3.0,21.2,0.8,0.0,4.6,0.0,0.8,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89275,10.064371141303003,18,7,,0.0,8.81,william,William,Willian de Asevedo Furtado,,False,12,283,2,16.67,,William,66.67,73.33,Nilton Santos (Engenhão),2025-08-03 16:00:00,,,334129,2,283,6,263,1754247600,26,True,True,2.0,1.0,33.0,16.0,2.0,6.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,30.0,14.0,4.8,8.6,2.0,6.8,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68685,10.062706693486152,18,7,,-0.54,6.56,alan-patrick,Alan Patrick,Alan Patrick Lourenço,,True,12,285,4,13.73,,A. Patrick,66.67,66.67,Beira-Rio,2025-08-03 20:30:00,,,334138,8,276,10,285,1754263800,26,True,False,5.0,3.0,11.0,9.0,5.0,3.0,15.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,6.2,2.4,12.2,0.6,0.0,4.6,4.4,2.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104118,9.49601467431501,18,7,,-0.13,5.62,lucas-arcanjo,Lucas Arcanjo,Lucas Willians Assis Arcanjo,,True,16,287,1,8.91,,L. Arcanjo,66.67,40.0,Barradão,2025-08-03 19:30:00,,,334140,3,275,15,287,1754260200,26,True,False,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,67.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,2.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.4,14.0,0.0,0.0,0.0,0.0
117632,8.820981331347376,18,7,,0.0,3.45,garro,Garro,Rodrigo Garro,,False,6,264,4,15.11,,Garro,26.67,33.33,Neo Química Arena,2025-08-03 16:00:00,,,334131,18,356,11,264,1754247600,26,True,False,0.0,3.0,4.0,6.0,2.0,2.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.2,3.2,2.0,13.0,0.0,0.0,1.6,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39148,8.748687811461295,18,7,,-2.83,6.2,hulk,Hulk,Givanildo Vieira de Souza,,True,14,282,5,14.26,,Hulk,26.67,40.0,Arena MRV,2025-08-03 18:30:00,,,334137,5,280,13,282,1754256600,26,True,False,2.0,5.0,6.0,19.0,12.0,17.0,32.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,5.2,15.0,15.8,28.8,6.0,0.0,11.6,2.0,3.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105300,8.529931733777655,18,7,,1.63,5.31,ferraresi,Ferraresi,Nahuel Adolfo Ferraresi Hernández,,True,12,276,3,9.45,,Ferraresi,66.67,66.67,Beira-Rio,2025-08-03 20:30:00,,,334138,8,276,10,285,1754263800,26,True,True,1.0,2.0,33.0,13.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,23.2,11.0,1.0,4.6,1.0,2.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111466,8.230139809311293,18,7,,-0.61,6.84,victor-gabriel,Victor Gabriel,Victor Gabriel da Conceição Ribeiro,,True,7,285,3,9.97,,V. Gabriel,66.67,66.67,Beira-Rio,2025-08-03 20:30:00,,,334138,8,276,10,285,1754263800,26,True,False,0.0,0.0,14.0,7.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.8,5.8,1.0,1.2,0.0,1.6,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99274,8.160928313677912,18,7,,-1.16,6.77,alexander-barboza,Alexander Barboza,Alexander Nahuel Barboza Ullúa,,True,9,263,3,10.86,,A. Barboza,66.67,73.33,Nilton Santos (Engenhão),2025-08-03 16:00:00,,,334129,2,283,6,263,1754247600,26,True,False,0.0,5.0,24.0,15.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.2,20.2,13.0,3.8,0.0,0.0,5.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78479,7.843337060579114,18,7,,-0.18,4.96,cleber-xavier,Cleber Xavier,Cleber Marcio Serpa Xavier,,True,10,277,6,9.98,,C. Xavier,20.0,46.67,Morumbis,2025-08-04 20:00:00,,,334133,19,286,17,277,1754348400,26,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0
94044,7.821278178244862,18,7,,-1.12,6.92,john,John,John Victor Maciel Furtado,,True,14,263,1,11.84,,John,66.67,73.33,Nilton Santos (Engenhão),2025-08-03 16:00:00,,,334129,2,283,6,263,1754247600,26,True,False,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,6.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.8,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,5.2,0.0,0.0,0.0,0.0
91158,7.80581361912569,18,7,,-1.02,7.9,kaio,Kaio,Kaio Fernando da Silva Pantaleão,,True,4,263,3,10.67,,Kaio,66.67,73.33,Nilton Santos (Engenhão),2025-08-03 16:00:00,,,334129,2,283,6,263,1754247600,26,True,False,0.0,0.0,6.0,4.0,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.2,2.4,2.4,5.4,0.0,2.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126471,7.606348716416164,18,7,,-1.04,6.36,barreal,Barreal,Álvaro Martín Barreal,,True,13,277,4,10.14,,Barreal,20.0,46.67,Morumbis,2025-08-04 20:00:00,,,334133,19,286,17,277,1754348400,26,True,False,0.0,1.0,25.0,12.0,5.0,8.0,11.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,21.4,8.8,6.8,9.2,1.0,0.0,3.6,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
