atletas.atleta_id,previsao_pontos,atletas.rodada_id,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,aproveitamento_visitante,aproveitamento_mandante,local,partida_data,placar_oficial_visitante,placar_oficial_mandante,partida_id,clube_visitante_posicao,clube_visitante_id,clube_casa_posicao,clube_casa_id,timestamp,campeonato_id,valida,mandante,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
90703,6.5792399999999605,15,7,,-0.56,4.86,matheuzinho,Matheuzinho,Matheus Martins Fogaça de Paulo,,True,11,287,4,10.46,,Matheuzinho,66.67,20.0,Barradão,2025-07-20 16:00:00,,,334034,3,280,17,287,1753038000,26,True,False,0.0,3.0,14.0,10.0,7.0,1.0,33.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37281,6.560979999999985,15,7,,0.0,5.45,mano-menezes,Mano Menezes,Luis Antônio Venker de Menezes,,False,9,284,6,9.57,,M. Menezes,46.67,40.0,São Januário,2025-07-19 17:30:00,,,334028,12,284,15,267,1752957000,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94207,6.554959999999979,15,7,,-0.1,7.55,guilherme,Guilherme,Guilherme Augusto Vieira dos Santos,,True,10,277,5,10.45,,Guilherme,60.0,73.33,Maião,2025-07-19 18:30:00,,,334031,13,277,11,2305,1752960600,26,True,True,1.0,0.0,21.0,5.0,5.0,11.0,20.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109401,6.528689999999973,15,7,,0.0,7.13,erick-pulga,Erick Pulga,Erick da Costa Farias,,False,13,265,5,9.55,,E. Pulga,80.0,0.0,Castelão (CE),2025-07-19 16:00:00,,,334037,4,265,19,356,1752951600,26,True,True,3.0,1.0,23.0,10.0,4.0,16.0,28.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82628,6.516759999999962,15,7,,0.0,4.9,tinga,Tinga,Guilherme de Jesus da Silva,,False,6,356,2,8.39,,Tinga,80.0,0.0,Castelão (CE),2025-07-19 16:00:00,,,334037,4,265,19,356,1752951600,26,True,False,0.0,1.0,4.0,4.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
51413,6.512629999999986,15,7,,-1.28,7.07,walter,Walter,Walter Leandro Capeloza Artune,,True,6,2305,1,9.34,,Walter,60.0,73.33,Maião,2025-07-19 18:30:00,,,334031,13,277,11,2305,1752960600,26,True,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
106593,6.5052099999999635,15,7,,-0.67,7.09,villalba,Villalba,Lucas Hernán Villalba,,True,11,283,3,8.81,,Villalba,26.67,86.67,Mineirão,2025-07-20 16:00:00,,,334032,18,286,1,283,1753038000,26,True,False,0.0,3.0,17.0,7.0,1.0,3.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
79437,6.462639999999985,15,7,,0.0,5.06,roger-machado,Roger Machado,Roger Machado Marques,,False,13,285,6,9.98,,R. Machado,40.0,33.33,Beira-Rio,2025-07-20 11:00:00,,,334033,10,354,14,285,1753020000,26,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145269,6.447889999999978,15,7,,0.6,7.43,davide-ancelotti,Davide Ancelotti,Davide Ancelotti,,True,2,263,6,12.47,,D. Ancelotti,73.33,6.67,Ilha do Retiro,2025-07-20 17:30:00,,,334039,6,263,20,292,1753043400,26,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91158,6.445349999999974,15,7,,1.2,8.45,kaio,Kaio,Kaio Fernando da Silva Pantaleão,,True,2,263,3,10.12,,Kaio,73.33,6.67,Ilha do Retiro,2025-07-20 17:30:00,,,334039,6,263,20,292,1753043400,26,True,True,0.0,0.0,1.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
